Entity,Code,Year,Proportion of individuals who own a mobile telephone
Suriname,SUR,2023,90.3
Sweden,SWE,2019,86.2
Sweden,SWE,2020,89.4
Sweden,SWE,2021,90.2
Sweden,SWE,2022,90.4
Sweden,SWE,2023,90.3
Switzerland,CHE,2019,95.5
Switzerland,CHE,2020,95.2
Switzerland,CHE,2021,97.8
Switzerland,CHE,2022,98.1
Switzerland,CHE,2023,98.3
Tajikistan,TJK,2019,57.2
Tajikistan,TJK,2020,63.2
Tajikistan,TJK,2021,65.7
Tajikistan,TJK,2022,67.3
Tajikistan,TJK,2023,72.4
Tanzania,TZA,2016,60.5
Tanzania,TZA,2019,72.4
Tanzania,TZA,2020,72.4
Tanzania,TZA,2022,82.5
Thailand,THA,2013,73.3
Thailand,THA,2014,77.2
Thailand,THA,2015,79.3
Thailand,THA,2016,81.4
Thailand,THA,2017,88.1
Thailand,THA,2019,81.1
Thailand,THA,2020,83.6
Thailand,THA,2021,86.7
Thailand,THA,2022,88.3
Thailand,THA,2023,88.4
Togo,TGO,2017,43.9
Togo,TGO,2019,49.5
Togo,TGO,2020,53.8
Togo,TGO,2021,56.4
Togo,TGO,2022,57.8
Togo,TGO,2023,59.9
Tonga,TON,2019,63.4
Tonga,TON,2021,62.4
Tonga,TON,2022,62.6
Tonga,TON,2023,63.5
Trinidad and Tobago,TTO,2020,82.6
Trinidad and Tobago,TTO,2021,83.9
Trinidad and Tobago,TTO,2022,83.5
Trinidad and Tobago,TTO,2023,84.1
Tunisia,TUN,2015,82.4
Tunisia,TUN,2016,83.5
Tunisia,TUN,2017,89.2
Tunisia,TUN,2018,88.3
Tunisia,TUN,2019,80
Tunisia,TUN,2020,90
Tunisia,TUN,2021,95.6
Tunisia,TUN,2022,93.2
Tunisia,TUN,2023,90.9
Turkey,TUR,2019,91.1
Turkey,TUR,2020,92.9
Turkey,TUR,2021,93.3
Turkey,TUR,2022,94.3
Turkey,TUR,2023,96.1
Turkey,TUR,2024,96
Tuvalu,TUV,2019,87.8
Tuvalu,TUV,2020,87.4
Tuvalu,TUV,2021,87.8
Tuvalu,TUV,2022,88
Tuvalu,TUV,2023,88.5
Uganda,UGA,2019,60.8
Uganda,UGA,2020,63.4
Uganda,UGA,2021,65
Uganda,UGA,2022,65.8
Uganda,UGA,2023,67.4
Ukraine,UKR,2014,38.9
Ukraine,UKR,2016,37.4
Ukraine,UKR,2019,87
Ukraine,UKR,2020,89.4
Ukraine,UKR,2021,90.7
Ukraine,UKR,2022,91.4
Ukraine,UKR,2023,91.8
United Arab Emirates,ARE,2014,99.7
United Arab Emirates,ARE,2016,99.2
United Arab Emirates,ARE,2017,99.4
United Arab Emirates,ARE,2018,99.9
United Arab Emirates,ARE,2019,99.9
United Arab Emirates,ARE,2020,100
United Arab Emirates,ARE,2021,100
United Arab Emirates,ARE,2022,100
United Arab Emirates,ARE,2023,100
United Kingdom,GBR,2020,92.2
United Kingdom,GBR,2021,94.7
United Kingdom,GBR,2022,95
United Kingdom,GBR,2023,95.2
United States,USA,2020,95.3
United States,USA,2021,95.9
United States,USA,2022,96.2
United States,USA,2023,96.4
Uruguay,URY,2014,76.9
Uruguay,URY,2015,79.1
Uruguay,URY,2017,75.7
Uruguay,URY,2018,82.8
Uruguay,URY,2019,83.3
Uruguay,URY,2020,85.4
Uruguay,URY,2021,87.5
Uruguay,URY,2022,89.4
Uruguay,URY,2023,91.2
Uzbekistan,UZB,2017,63.5
Uzbekistan,UZB,2018,68.1
Uzbekistan,UZB,2019,69.8
Uzbekistan,UZB,2020,71.7
Uzbekistan,UZB,2021,72.4
Uzbekistan,UZB,2022,79
Uzbekistan,UZB,2023,82.2
Vanuatu,VUT,2019,58.3
Vanuatu,VUT,2020,66.8
Vanuatu,VUT,2021,69.7
Vanuatu,VUT,2022,69.7
Vanuatu,VUT,2023,69.7
Vatican,VAT,2019,88.2
Vatican,VAT,2020,91
Vatican,VAT,2021,92.1
Vatican,VAT,2022,94
Vatican,VAT,2023,95.3
Vietnam,VNM,2019,77.5
Vietnam,VNM,2020,79.3
Vietnam,VNM,2021,77.5
Vietnam,VNM,2022,79.3
Vietnam,VNM,2023,83.8
World,OWID_WRL,2019,70.9
World,OWID_WRL,2020,74.2
World,OWID_WRL,2021,76.4
World,OWID_WRL,2022,77.7
World,OWID_WRL,2023,78.6
World,OWID_WRL,2024,79.7
Zambia,ZMB,2018,44.6
Zambia,ZMB,2019,50.6
Zambia,ZMB,2020,53.3
Zambia,ZMB,2021,55.7
Zambia,ZMB,2022,59.7
Zambia,ZMB,2023,62.8
Zimbabwe,ZWE,2020,47
Zimbabwe,ZWE,2021,54.5
Zimbabwe,ZWE,2022,58.4
Zimbabwe,ZWE,2023,60.7
