Entity,Code,Year,Change in male height (%)
Afghanistan,AFG,1996,2.5388815
Albania,ALB,1996,6.161768
Algeria,DZA,1996,6.037682
American Samoa,ASM,1996,3.7294197
Andorra,AND,1996,7.75608
Angola,AGO,1996,3.1692317
Antigua and Barbuda,ATG,1996,6.799158
Argentina,ARG,1996,7.5635476
Armenia,ARM,1996,6.267714
Australia,AUS,1996,6.0713334
Austria,AUT,1996,5.5835385
Azerbaijan,AZE,1996,4.997569
Bahamas,BHS,1996,6.8130636
Bahrain,BHR,1996,7.03958
Bangladesh,BGD,1996,3.2950714
Barbados,BRB,1996,6.7120624
Belarus,BLR,1996,6.382939
Belgium,BEL,1996,8.671206
Belize,BLZ,1996,6.703266
Benin,BEN,1996,2.795829
Bermuda,BMU,1996,6.7631135
Bhutan,BTN,1996,2.504867
Bolivia,BOL,1996,6.7353516
Bosnia and Herzegovina,BIH,1996,7.3893695
Botswana,BWA,1996,3.274248
Brazil,BRA,1996,6.3338146
Brunei,BRN,1996,5.9184933
Bulgaria,BGR,1996,7.0782156
Burkina Faso,BFA,1996,3.5688033
Burundi,BDI,1996,3.1229286
Cambodia,KHM,1996,5.457738
Cameroon,CMR,1996,2.6399143
Canada,CAN,1996,4.314917
Cape Verde,CPV,1996,5.0738935
Central African Republic,CAF,1996,3.290653
Chad,TCD,1996,3.3620934
Chile,CHL,1996,6.918229
China,CHN,1996,6.743218
Colombia,COL,1996,7.7520475
Comoros,COM,1996,4.0519204
Congo,COG,1996,3.436708
Cook Islands,COK,1996,3.1361578
Costa Rica,CRI,1996,7.1335297
Cote d'Ivoire,CIV,1996,2.3954015
Croatia,HRV,1996,7.5263352
Cuba,CUB,1996,7.5795007
Cyprus,CYP,1996,7.5337815
Czechia,CZE,1996,7.204649
Democratic Republic of Congo,COD,1996,3.0645404
Denmark,DNK,1996,6.7187037
Djibouti,DJI,1996,3.1367748
Dominica,DMA,1996,7.2039247
Dominican Republic,DOM,1996,7.78995
East Asia and Pacific,,1996,4.831938
East Timor,TLS,1996,4.4170303
Ecuador,ECU,1996,7.3559294
Egypt,EGY,1996,5.0734935
El Salvador,SLV,1996,7.1289477
Equatorial Guinea,GNQ,1996,3.2326183
Eritrea,ERI,1996,2.7852478
Estonia,EST,1996,6.2727413
Eswatini,SWZ,1996,3.009054
Ethiopia,ETH,1996,3.0712857
Europe and Central Asia,,1996,6.9351745
Fiji,FJI,1996,3.1431086
Finland,FIN,1996,7.06221
France,FRA,1996,8.007574
French Polynesia,PYF,1996,4.3369036
Gabon,GAB,1996,3.2281296
Gambia,GMB,1996,2.9178157
Georgia,GEO,1996,6.041491
Germany,DEU,1996,7.611707
Ghana,GHA,1996,3.9883733
Greece,GRC,1996,9.106004
Greenland,GRL,1996,9.658411
Grenada,GRD,1996,7.5641284
Guatemala,GTM,1996,6.189952
Guinea,GIN,1996,2.5643988
Guinea-Bissau,GNB,1996,3.1019135
Guyana,GUY,1996,6.442243
Haiti,HTI,1996,6.768932
Honduras,HND,1996,5.0639734
Hong Kong,HKG,1996,8.702672
Hungary,HUN,1996,6.586304
Iceland,ISL,1996,5.8354692
India,IND,1996,1.8431458
Indonesia,IDN,1996,5.758936
Iran,IRN,1996,10.513893
Iraq,IRQ,1996,7.015829
Ireland,IRL,1996,7.550032
Israel,ISR,1996,8.234727
Italy,ITA,1996,7.927039
Jamaica,JAM,1996,7.033841
Japan,JPN,1996,9.381433
Jordan,JOR,1996,7.6420326
Kazakhstan,KAZ,1996,6.1472216
Kenya,KEN,1996,2.3654466
Kiribati,KIR,1996,1.4155263
Kuwait,KWT,1996,7.203663
Kyrgyzstan,KGZ,1996,6.8575764
Laos,LAO,1996,4.9935493
Latin America and Caribbean,,1996,6.8238945
Latvia,LVA,1996,7.109351
Lebanon,LBN,1996,8.508813
Lesotho,LSO,1996,2.6469405
Liberia,LBR,1996,3.1443503
Libya,LBY,1996,7.604829
Lithuania,LTU,1996,5.9785237
Luxembourg,LUX,1996,6.2945232
Madagascar,MDG,1996,1.80566
Malawi,MWI,1996,1.8977655
Malaysia,MYS,1996,6.5454283
Maldives,MDV,1996,7.604368
Mali,MLI,1996,3.6532023
Malta,MLT,1996,7.0609856
Marshall Islands,MHL,1996,0.31750473
Mauritania,MRT,1996,1.091714
Mauritius,MUS,1996,6.1420894
Mexico,MEX,1996,7.8230405
Micronesia (country),FSM,1996,2.3411455
Middle East and North Africa,,1996,6.8727193
Moldova,MDA,1996,6.594649
Mongolia,MNG,1996,6.2663803
Montenegro,MNE,1996,7.1006937
Morocco,MAR,1996,7.0301275
Mozambique,MOZ,1996,3.5667927
Myanmar,MMR,1996,4.678837
Namibia,NAM,1996,1.685868
Nauru,NRU,1996,1.8351396
Nepal,NPL,1996,3.0253024
Netherlands,NLD,1996,7.73376
New Zealand,NZL,1996,6.121176
Nicaragua,NIC,1996,6.0571923
Niger,NER,1996,2.306424
Nigeria,NGA,1996,3.017824
Niue,NIU,1996,4.2900233
North America,OWID_NAM,1996,4.83698
North Korea,PRK,1996,7.1101375
North Macedonia,MKD,1996,7.0995026
Norway,NOR,1996,4.9667234
Oman,OMN,1996,8.605278
Pakistan,PAK,1996,0.7679615
Palau,PLW,1996,2.1622486
Palestine,PSE,1996,6.9808216
Panama,PAN,1996,7.330728
Papua New Guinea,PNG,1996,2.6865566
Paraguay,PRY,1996,6.65987
Peru,PER,1996,6.6514473
Philippines,PHL,1996,5.4939833
Poland,POL,1996,8.348108
Portugal,PRT,1996,8.791024
Puerto Rico,PRI,1996,7.2200165
Qatar,QAT,1996,7.06937
Romania,ROU,1996,6.6667924
Russia,RUS,1996,5.6845274
Rwanda,RWA,1996,1.7089185
Saint Kitts and Nevis,KNA,1996,5.814966
Saint Lucia,LCA,1996,6.1348386
Saint Vincent and the Grenadines,VCT,1996,6.805519
Samoa,WSM,1996,3.096132
Sao Tome and Principe,STP,1996,3.202108
Saudi Arabia,SAU,1996,6.032375
Senegal,SEN,1996,3.8812644
Serbia,SRB,1996,7.8378344
Seychelles,SYC,1996,5.281521
Sierra Leone,SLE,1996,2.396561
Singapore,SGP,1996,5.9607406
Slovakia,SVK,1996,6.630544
Slovenia,SVN,1996,7.4230905
Solomon Islands,SLB,1996,2.0487826
Somalia,SOM,1996,3.1923523
South Africa,ZAF,1996,0.8580021
South Asia,,1996,3.3617961
South Korea,KOR,1996,9.494623
Spain,ESP,1996,8.813596
Sri Lanka,LKA,1996,5.58588
Sub-Saharan Africa,,1996,3.0046015
Sudan,SDN,1996,3.1741624
Suriname,SUR,1996,6.8059077
Sweden,SWE,1996,4.5612893
Switzerland,CHE,1996,6.5016365
Syria,SYR,1996,7.028103
Taiwan,TWN,1996,8.187323
Tajikistan,TJK,1996,6.116191
Tanzania,TZA,1996,2.4963048
Thailand,THA,1996,6.7564483
Togo,TGO,1996,3.4055486
Tokelau,TKL,1996,4.228482
Tonga,TON,1996,3.7238972
Trinidad and Tobago,TTO,1996,6.0006313
Tunisia,TUN,1996,6.022238
Turkey,TUR,1996,8.662248
Turkmenistan,TKM,1996,6.351358
Tuvalu,TUV,1996,2.5909824
Uganda,UGA,1996,2.1252365
Ukraine,UKR,1996,6.41383
United Arab Emirates,ARE,1996,6.9998536
United Kingdom,GBR,1996,6.3628917
United States,USA,1996,3.537029
Uruguay,URY,1996,5.874469
Uzbekistan,UZB,1996,5.151935
Vanuatu,VUT,1996,2.7543283
Venezuela,VEN,1996,7.2719893
Vietnam,VNM,1996,5.8904343
World,OWID_WRL,1996,5.414684
Yemen,YEM,1996,3.483764
Zambia,ZMB,1996,2.6566002
Zimbabwe,ZWE,1996,2.3116133
