Entity,Code,Year,Crude birth rate,Crude death rate
Albania,ALB,1930,,16.3
Albania,ALB,1932,25.1,17.9
Albania,ALB,1936,,16.6
Albania,ALB,1937,,19.5
Albania,ALB,1938,34.3,17.7
Albania,ALB,1939,27.9,15
Albania,ALB,1940,31.3,16.4
Albania,ALB,1941,28,16.6
Albania,ALB,1942,,14.2
Albania,ALB,1947,,18.9
Albania,ALB,1948,,16.1
Albania,ALB,1949,,12.5
Albania,ALB,1950,38.8,14.1
Albania,ALB,1951,38.5,15.2
Albania,ALB,1952,35.2,15.6
Albania,ALB,1953,40.9,13.7
Albania,ALB,1954,40.8,13.1
Albania,ALB,1955,44.5,15.1
Albania,ALB,1956,41.9,11.5
Albania,ALB,1957,39.1,11.8
Albania,ALB,1958,41.8,9.3
Albania,ALB,1959,41.9,9.8
Albania,ALB,1960,43.4,10.4
Albania,ALB,1961,41.2,9.3
Albania,ALB,1962,39.3,10.7
Albania,ALB,1963,39.1,10
Albania,ALB,1964,37.8,8.7
Albania,ALB,1965,35.2,9
Albania,ALB,1966,34,8.6
Albania,ALB,1967,35.3,8.4
Albania,ALB,1968,35.6,8
Albania,ALB,1969,35.3,7.5
Albania,ALB,1970,32.5,9.3
Albania,ALB,1971,33.3,8.1
Albania,ALB,1978,,6.4
Albania,ALB,1979,27.5,6.7
Albania,ALB,1980,26.5,6.4
Albania,ALB,1981,26.5,6.6
Albania,ALB,1982,27.8,5.9
Albania,ALB,1983,26,6.1
Albania,ALB,1984,27.3,5.7
Albania,ALB,1985,26.2,5.8
Albania,ALB,1986,25.3,5.7
Albania,ALB,1987,25.9,5.6
Albania,ALB,1988,25.5,5.4
Albania,ALB,1989,24.6,5.7
Albania,ALB,1990,25.2,5.6
Albania,ALB,1991,23.8,5.5
Albania,ALB,1992,,5.1
Albania,ALB,1995,20,5
Albania,ALB,1996,18.7,4.8
Albania,ALB,1997,16.5,4.9
Albania,ALB,1998,15.9,4.8
Albania,ALB,1999,13.8,5.7
Albania,ALB,2000,16.7,5.4
Albania,ALB,2001,17.7,5.1
Albania,ALB,2002,14.7,5.3
Albania,ALB,2003,15.1,5.8
Albania,ALB,2004,13.75707767,5.675569979
Albania,ALB,2005,12.60699772,5.546353361
Albania,ALB,2006,10.86329369,5.374678741
Albania,ALB,2007,10.49018184,4.5955239820000005
Albania,ALB,2008,11.39252043,5.073224387
Argentina,ARG,1910,38.3,18.9
Argentina,ARG,1911,37.9,18.2
Argentina,ARG,1912,38.6,17
Argentina,ARG,1913,38,16.2
Argentina,ARG,1914,36.7,15.4
Argentina,ARG,1915,35.3,15.8
Argentina,ARG,1916,35.3,17.1
Argentina,ARG,1917,33.6,16.1
Argentina,ARG,1918,32.9,18.2
Argentina,ARG,1919,32.7,18.4
Argentina,ARG,1920,32.3,15.5
Argentina,ARG,1921,32.8,15.8
Argentina,ARG,1922,33.1,14
Argentina,ARG,1923,34,14.8
Argentina,ARG,1924,32.8,14.3
Argentina,ARG,1925,31.8,14.1
Argentina,ARG,1926,31.2,13.6
Argentina,ARG,1927,30.7,14.1
Argentina,ARG,1928,30.8,13.2
Argentina,ARG,1929,30.2,13.8
Argentina,ARG,1930,29.5,12.7
Argentina,ARG,1931,28.5,12.7
Argentina,ARG,1932,28.1,11.1
Argentina,ARG,1933,26.1,11.8
Argentina,ARG,1934,25.5,11.7
Argentina,ARG,1935,25.2,13.1
Argentina,ARG,1936,24.5,11.9
Argentina,ARG,1937,24.1,12
Argentina,ARG,1938,24.3,12.4
Argentina,ARG,1939,24.1,11.3
Argentina,ARG,1940,24,10.7
Argentina,ARG,1941,23.7,10.4
Argentina,ARG,1942,23.3,10.3
Argentina,ARG,1943,24.2,10.1
Argentina,ARG,1944,25.2,10.2
Argentina,ARG,1945,25.2,10.3
Argentina,ARG,1946,24.7,9.6
Argentina,ARG,1947,25,9.9
Argentina,ARG,1948,25.3,9.4
Argentina,ARG,1949,25.1,9
Argentina,ARG,1950,25.5,9
Argentina,ARG,1951,25.2,8.9
Argentina,ARG,1952,24.7,8.6
Argentina,ARG,1953,25,8.9
Argentina,ARG,1954,24.7,8.4
Argentina,ARG,1955,24.4,8.9
Argentina,ARG,1956,24.6,8.4
Argentina,ARG,1957,24.4,9.2
Argentina,ARG,1958,23.7,8.3
Argentina,ARG,1959,23.5,8.5
Argentina,ARG,1960,22.9,8.7
Argentina,ARG,1961,22.8,8.4
Argentina,ARG,1962,23.1,8.6
Argentina,ARG,1963,22.8,8.6
Argentina,ARG,1964,22.7,8.7
Argentina,ARG,1965,21.7,8.9
Argentina,ARG,1966,21.3,8.6
Argentina,ARG,1967,21.1,8.6
Argentina,ARG,1968,21.3,9.2
Argentina,ARG,1969,24.8,9.5
Argentina,ARG,1970,22.7,9.4
Argentina,ARG,1971,22.8,9.3
Argentina,ARG,1972,22.4,9
Argentina,ARG,1973,22.6,9.1
Argentina,ARG,1974,23.5,9
Argentina,ARG,1975,23.8,8.8
Argentina,ARG,1976,23.9,9.1
Argentina,ARG,1977,24.7,8.7
Argentina,ARG,1978,24.3,8.4
Argentina,ARG,1979,24.8,8.5
Argentina,ARG,1980,24.7,8.5
Argentina,ARG,1981,23.7,8.4
Argentina,ARG,1982,22.8,8
Argentina,ARG,1983,22.5,8.2
Argentina,ARG,1984,22,8.5
Argentina,ARG,1985,22.6,8
Argentina,ARG,1986,22.1,7.9
Argentina,ARG,1987,21.3,8
Argentina,ARG,1988,20.7,8.4
Argentina,ARG,1989,20.8,7.9
Argentina,ARG,1990,20.9,8
Argentina,ARG,1991,21.1,7.8
Argentina,ARG,1992,20.3,7.9
Argentina,ARG,1993,19.8,7.9
Argentina,ARG,1994,19.6,7.5
Argentina,ARG,1995,18.9,7.7
Argentina,ARG,1996,19.2,7.6
Argentina,ARG,1997,19.4,7.6
Argentina,ARG,1998,18.9,7.8
Argentina,ARG,1999,18.8,7.9
Argentina,ARG,2000,19.1,7.5
Argentina,ARG,2001,18.4,7.7
Argentina,ARG,2002,18.5,7.8
Argentina,ARG,2003,18.4,8
Argentina,ARG,2004,19.3,7.7
Argentina,ARG,2005,18.5,7.6
Argentina,ARG,2006,17.87118503,7.500857505
Argentina,ARG,2007,17.80631111,8.025432622
Argentina,ARG,2008,18.77102764,7.593316022
Argentina,ARG,2009,18.570989870000002,7.587625835
Australia,AUS,1850,36.9,
Australia,AUS,1851,37.4,13.9
Australia,AUS,1852,35.1,17.5
Australia,AUS,1853,37.5,23.5
Australia,AUS,1854,36.3,21.8
