Entity,Year,Suspended Particulate Matter (SPM) (Fouquet and DPCC (2011))
London,1965,145.57083
London,1966,141.33615
London,1967,137.10149
London,1968,132.8668
London,1969,128.63214
London,1970,124.39746
London,1971,120.16279
London,1972,115.928116
London,1973,111.69344
London,1974,107.45877
London,1975,103.2241
London,1976,98.989426
London,1977,94.75475
London,1978,90.52009
London,1979,86.285416
London,1980,82.05074
London,1981,77.81607
London,1982,73.5814
London,1983,69.346725
London,1984,65.11205
London,1985,60.877377
London,1986,56.642708
London,1987,52.408035
London,1988,48.173363
London,1989,43.93869
London,1990,39.704018
London,1991,35.469345
London,1992,31.234673
London,1993,27
London,1994,26
London,1995,26
London,1996,26
London,1997,25
London,1998,25
London,1999,25
London,2000,25
London,2001,23.22
London,2002,23
London,2003,24.79
London,2004,22.03
London,2005,22.35
London,2006,23.82
London,2007,21.56
London,2008,18.81
London,2009,19
London,2010,20
London,2011,20
London,2012,17
London,2013,17
London,2014,17
London,2015,15
London,2016,16
