link,title,full_title,status,error
https://observablehq.com/d/641fe2058221d34b,IA commentary July 2023,IA commentary July 2023 / Yonsei University | Observable,ok,
https://observablehq.com/d/f792e00c5ceb4b87,"Percent of D.C. Workers Who Are Immigrants, by Occupation","Percent of D.C. Workers Who Are Immigrants, by Occupation / Prueba | Observable",ok,
https://observablehq.com/d/1b9b8c753e96b9fc,How Many Members of the US Military Have Died in Each War?,How Many Members of the US Military Have Died in Each War? / Prueba | Observable,ok,
https://observablehq.com/@fyp4/malaysia-total-trade-with-world,Malaysia Total Trade with World,Malaysia Total Trade with World / fyp | Observable,ok,
https://observablehq.com/d/4c1fb232cc0eea23,Traffic-citations,Traffic-citations / Prueba | Observable,ok,
https://observablehq.com/d/6c81fc440235fdb4,Dublin Stats,Dublin Stats / Prueba | Observable,ok,
https://observablehq.com/d/1a6221c15c98cf2c,International Merchandise Trade Malaysia and ASEAN,International Merchandise Trade Malaysia and ASEAN / fyp | Observable,ok,
https://observablehq.com/d/d8d343511c03acf7,Percent Change in Past Month Alcohol Use between 2011 and 2016 by State,Percent Change in Past Month Alcohol Use between 2011 and 2016 by State / Prueba | Observable,ok,
https://observablehq.com/d/ad06c98b232deab5,Geography of Educational Attainment in California,Geography of Educational Attainment in California / Prueba | Observable,ok,
https://observablehq.com/d/456e2c8beae6ca2a,Finland Tech Job Market Top Skill Demand Tracker 2024-2026,Finland Tech Job Market Top Skill Demand Tracker 2024-2026 / fyp | Observable,ok,
https://observablehq.com/d/01c45e5b545d634b,AI Adoption and Digital Skills:evidence of a potential mismatch in 2021-2025,AI Adoption and Digital Skills:evidence of a potential mismatch in 2021-2025 / fyp | Observable,ok,
https://observablehq.com/d/d5d39f0d9ccdf508,"Uber Usage Trends in Pakistan: Bookings and Revenue, 2024–2025","Uber Usage Trends in Pakistan: Bookings and Revenue, 2024–2025 / fyp | Observable",ok,
https://observablehq.com/d/939918b55e6a5108,Untitled,Untitled / Data FYP | Observable,ok,
https://observablehq.com/d/64887ee832929930,Mobile Money Accounts,Mobile Money Accounts / Data FYP | Observable,ok,
https://observablehq.com/d/6760acab97435487,Internet,Internet / Data FYP | Observable,ok,
https://observablehq.com/d/fdbb3d8a0cd4bd58,Medicine,Medicine / Data FYP | Observable,ok,
https://observablehq.com/d/1edfdbd0a0cf213a,UCR Violent Crime,UCR Violent Crime / Prueba | Observable,ok,
https://observablehq.com/d/598fb95f4893d856,Stroke statistics - leading cause of death,Stroke statistics - leading cause of death / Prueba | Observable,ok,
https://observablehq.com/d/fcadcfb0a70486b7,Landline Internet Subscription,Landline Internet Subscription / Data FYP | Observable,ok,
https://observablehq.com/d/c796dd26baa3c4f8,4G network,4G network / Data FYP | Observable,ok,
https://observablehq.com/d/dd366878162d0d28,Who owns a phone,Who owns a phone / Data FYP | Observable,ok,
https://observablehq.com/d/d9ad549baa56a3a7,Death rate,Death rate / Data FYP | Observable,ok,
https://observablehq.com/d/4c5f0483c5ac2bba,Countries where armed conflict happened in 2024,Countries where armed conflict happened in 2024 / Data FYP | Observable,ok,
https://observablehq.com/d/8ffd349e8704e11c,Interstate and Intrastate war 2010,Interstate and Intrastate war 2010 / Data FYP | Observable,ok,
