Entity,Code,Day,2021,2020,"Projected, 2020",2015,2016,2017,2018,2019,2022,2023
Albania,ALB,2020-01-31,3002,2187,2434.2,2490,2065,3129,2158,2397,3302,2173
Albania,ALB,2020-02-29,3773,2018,1961.6,2139,1905,1845,2013,1974,2774,1899
Albania,ALB,2020-03-31,3447,1993,1967.2,2051,1910,1817,2136,1990,2043,1767
Albania,ALB,2020-04-30,2419,1804,1734,1906,1652,1665,1828,1687,1711,1668
Albania,ALB,2020-05-31,1874,1803,1685,1709,1716,1660,1664,1744,1682,1696
Albania,ALB,2020-06-30,1822,1779,1614,1561,1678,1605,1576,1718,1673,1586
Albania,ALB,2020-07-31,1820,2166,1751.2,2008,1643,1788,1641,1744,1991,2000
Albania,ALB,2020-08-31,2080,2476,1694.6,1687,1578,1833,1709,1734,1907,1719
Albania,ALB,2020-09-30,2506,1982,1518.2,1569,1459,1482,1621,1528,1531,1619
Albania,ALB,2020-10-31,2559,2403,1651,1560,1743,1679,1668,1673,1672,1660
Albania,ALB,2020-11-30,2506,3854,1750.6,1728,1855,1716,1730,1792,1686,1675
Albania,ALB,2020-12-31,2772,3140,2031,2010,2184,2013,2060,1956,2026,1824
Algeria,DZA,2020-01-31,18263,17733,17633.9,,,,16409.1,17783.6,26226,17886
Algeria,DZA,2020-02-29,14860,15909,15907.4,,,,15409.1,15330.7,21528,15298
Algeria,DZA,2020-03-31,16320,15951,15834.4,,,,15227.3,15366.7,15696,15630
Algeria,DZA,2020-04-30,15774,15223,14860.4,,,,14181.8,14464.9,14177,14933
Algeria,DZA,2020-05-31,16564,14596,14849.4,,,,14159.1,14464.9,15181,14791
Algeria,DZA,2020-06-30,17883,18704,14486.4,,,,13613.6,14284.6,14366,14077
Algeria,DZA,2020-07-31,33658,33940,15266.4,,,,14704.5,14753.5,15868,19710
Algeria,DZA,2020-08-31,46177,23991,15260.9,,,,14477.3,14969.9,16363,15812
Algeria,DZA,2020-09-30,20701,17393,14303.9,,,,13500,14032.1,14476,14633
Algeria,DZA,2020-10-31,17637,19279,15295.9,,,,14727.3,14789.6,15195,15391
Algeria,DZA,2020-11-30,18333,26916,15513.4,,,,14909.1,15042.1,16492,15731
Algeria,DZA,2020-12-31,22321,21434,16526.9,,,,15818.2,16160.3,17578,18294
Andorra,AND,2020-01-31,52,34,34.6,22,27,49,38,29,,
Andorra,AND,2020-02-29,36,37,28,25,21,29,28,29,,
Andorra,AND,2020-03-31,26,40,32.4,29,31,39,36,19,,
Andorra,AND,2020-04-30,43,60,24.4,26,19,22,21,26,,
Andorra,AND,2020-05-31,32,36,21.6,26,22,17,16,19,,
Andorra,AND,2020-06-30,19,26,25.8,16,25,26,31,23,,
Andorra,AND,2020-07-31,29,29,27.4,27,32,17,23,30,,
Andorra,AND,2020-08-31,28,19,25.2,18,34,18,30,18,,
Andorra,AND,2020-09-30,26,27,25.2,25,16,23,30,24,,
Andorra,AND,2020-10-31,27,51,27.4,25,24,24,33,23,,
Andorra,AND,2020-11-30,26,19,26.2,16,24,29,24,30,,
Andorra,AND,2020-12-31,42,41,31.2,27,35,30,25,31,,
Antigua and Barbuda,ATG,2020-01-31,56,50,46.9,36,31,42,37,63,,
Antigua and Barbuda,ATG,2020-02-29,68,47,55.5,53,49,49,40,61,,
Antigua and Barbuda,ATG,2020-03-31,55,60,59.9,60,57,52,60,45,,
Antigua and Barbuda,ATG,2020-04-30,50,49,49.3,20,60,41,60,40,,
Antigua and Barbuda,ATG,2020-05-31,46,52,51.1,46,34,54,58,38,,
Antigua and Barbuda,ATG,2020-06-30,39,42,51.1,44,43,38,42,63,,
Antigua and Barbuda,ATG,2020-07-31,55,46,47.1,37,23,43,53,54,,
Antigua and Barbuda,ATG,2020-08-31,47,44,59.1,55,61,49,48,57,,
Antigua and Barbuda,ATG,2020-09-30,104,45,52.5,49,38,45,54,51,,
Antigua and Barbuda,ATG,2020-10-31,26,50,56.5,49,52,68,44,44,,
Antigua and Barbuda,ATG,2020-11-30,64,49,52.7,50,55,43,42,48,,
Antigua and Barbuda,ATG,2020-12-31,39,40,50.1,34,45,49,43,54,,
Argentina,ARG,2020-01-31,34758,25870,26546.5,25724,27659,26822,26128,26359,48452,29839
Argentina,ARG,2020-02-29,29502,24405,23877.9,22764,25435,23803,23584,23763,34011,24814
Argentina,ARG,2020-03-31,32075,26072,26044.1,25164,27029,26173,25722,26092,30818,28194
Argentina,ARG,2020-04-30,40088,24941,25996.5,25875,27201,25881,25331,25654,30033,28311
Argentina,ARG,2020-05-31,51642,26927,29426.5,27609,33224,30080,27721,28458,31995,30004
Argentina,ARG,2020-06-30,51254,28365,33231.9,29533,36162,37476,31454,31494,35461,32843
Argentina,ARG,2020-07-31,44049,35340,34508.1,33409,34485,34822,33674,36110,35978,33572
Argentina,ARG,2020-08-31,37169,37222,31925.5,31860,31373,30025,33775,32554,32741,31271
Argentina,ARG,2020-09-30,29466,40543,29315.5,29948,29634,27326,30052,29577,29831,29711
Argentina,ARG,2020-10-31,29051,40941,28196.1,28664,27928,28010,27858,28480,29860,28486
Argentina,ARG,2020-11-30,27263,34895,25610.9,25670,25703,25239,25617,25785,27919,26839
Argentina,ARG,2020-12-31,29835,32073,26806.3,27220,26673,26684,26685,26729,30873,29544
Armenia,ARM,2020-01-31,3013,2567,2585.9,2582,2722,3027,2534,2773,2676,2495
Armenia,ARM,2020-02-29,2418,2434,2238.5,2363,2576,2442,2273,2247,3239,2056
Armenia,ARM,2020-03-31,2836,2288,2307.9,2763,2349,2568,2215,2353,2679,2220
Armenia,ARM,2020-04-30,3361,2156,2078.7,2442,2243,2246,1968,2203,1993,1951
Armenia,ARM,2020-05-31,2633,2103,2112.7,2197,2247,2323,2220,2285,2100,1985
Armenia,ARM,2020-06-30,2290,2869,1936.5,2288,2169,2103,1902,1929,1879,1773
Armenia,ARM,2020-07-31,2247,2719,2009.9,2176,2103,2063,2347,2069,1869,1793
Armenia,ARM,2020-08-31,2241,2106,1941.5,2149,2127,2174,1972,1994,2006,2136
Armenia,ARM,2020-09-30,2559,2042,1669.9,1949,1891,1712,1704,1802,2045,1706
