Entity,Year,Life expectancy,Country with yearly maximum life expectancy - Sex: female
Australia 1921,1921,63.18,Australia
Australia 1922,1922,65.11,Australia
Australia 1924,1924,64.51,Australia
Australia 1925,1925,65.38,Australia
Australia 1926,1926,65.07,Australia
Australia 1927,1927,64.85,Australia
Australia 1928,1928,64.72,Australia
Australia 1929,1929,65.39,Australia
Australia 1930,1930,66.9,Australia
Australia 1931,1931,67.33,Australia
Australia 1932,1932,67.6,Australia
Australia 1933,1933,67.46,Australia
Australia 1937,1937,67.96,Australia
Australia 1944,1944,69.79,Australia
Denmark 1843,1843,45.16,Denmark
Denmark 1861,1861,49.01,Denmark
Denmark 1862,1862,48.5,Denmark
Denmark 1863,1863,48.52,Denmark
Denmark 1904,1904,57.43,Denmark
Denmark 1910,1910,59.64,Denmark
Denmark 1914,1914,60.11,Denmark
Denmark 1915,1915,59.89,Denmark
Denmark 1918,1918,57.28,Denmark
Hong Kong 2011,2011,86.0892,Hong Kong
Hong Kong 2013,2013,86.562,Hong Kong
Hong Kong 2014,2014,86.7554,Hong Kong
Hong Kong 2015,2015,86.982,Hong Kong
Hong Kong 2016,2016,87.264,Hong Kong
Hong Kong 2017,2017,87.6226,Hong Kong
Hong Kong 2018,2018,87.9357,Hong Kong
Hong Kong 2019,2019,88.2395,Hong Kong
Hong Kong 2023,2023,88.1294,Hong Kong
Iceland 1842,1842,45.2,Iceland
Iceland 1853,1853,52.31,Iceland
Iceland 1889,1889,54.36,Iceland
Iceland 1892,1892,55.59,Iceland
Iceland 1893,1893,57.13,Iceland
Iceland 1896,1896,55.89,Iceland
Iceland 1899,1899,53.45,Iceland
Iceland 1906,1906,59.11,Iceland
Iceland 1912,1912,59.38,Iceland
Iceland 1913,1913,61.23,Iceland
Iceland 1917,1917,61.52,Iceland
Iceland 1919,1919,60.38,Iceland
Iceland 1940,1940,68.74,Iceland
Iceland 1946,1946,71.7,Iceland
Iceland 1949,1949,73.21,Iceland
Iceland 1950,1950,73.5168,Iceland
Iceland 1952,1952,74.8242,Iceland
Iceland 1954,1954,75.6009,Iceland
Iceland 1955,1955,75.8877,Iceland
Iceland 1958,1958,75.9493,Iceland
Iceland 1961,1961,76.1792,Iceland
Iceland 1962,1962,76.0576,Iceland
Iceland 1963,1963,75.9672,Iceland
Iceland 1964,1964,76.3245,Iceland
Iceland 1975,1975,78.6537,Iceland
Iceland 1976,1976,79.7894,Iceland
Iceland 1977,1977,79.2244,Iceland
Iceland 1978,1978,79.2677,Iceland
Iceland 1979,1979,79.2596,Iceland
Iceland 1980,1980,80.0593,Iceland
Iceland 1981,1981,79.3836,Iceland
Iceland 1983,1983,80.1398,Iceland
Japan 1982,1982,79.7247,Japan
Japan 1984,1984,80.2603,Japan
Japan 1985,1985,80.5448,Japan
Japan 1986,1986,80.9786,Japan
Japan 1987,1987,81.431,Japan
Japan 1988,1988,81.3282,Japan
Japan 1989,1989,81.8003,Japan
Japan 1990,1990,81.8645,Japan
Japan 1991,1991,82.1772,Japan
Japan 1992,1992,82.2972,Japan
Japan 1993,1993,82.4479,Japan
Japan 1994,1994,82.8995,Japan
Japan 1995,1995,82.78,Japan
Japan 1996,1996,83.4974,Japan
Japan 1997,1997,83.7321,Japan
Japan 1998,1998,83.9208,Japan
Japan 1999,1999,83.9158,Japan
Japan 2000,2000,84.5192,Japan
Japan 2001,2001,84.8445,Japan
Japan 2002,2002,85.143,Japan
Japan 2003,2003,85.2435,Japan
Japan 2004,2004,85.5007,Japan
Japan 2005,2005,85.4076,Japan
Japan 2006,2006,85.6959,Japan
Japan 2007,2007,85.8781,Japan
Japan 2008,2008,85.9491,Japan
Japan 2009,2009,86.3206,Japan
Japan 2010,2010,86.2318,Japan
Japan 2012,2012,86.3506,Japan
Japan 2020,2020,87.7266,Japan
Japan 2021,2021,87.5914,Japan
Japan 2022,2022,87.0874,Japan
Netherlands 1936,1936,67.41,Netherlands
Norway 1846,1846,49.67,Norway
Norway 1847,1847,46.08,Norway
Norway 1849,1849,49.82,Norway
Norway 1850,1850,51.28,Norway
Norway 1851,1851,51.49,Norway
Norway 1852,1852,49.94,Norway
Norway 1854,1854,53.3,Norway
Norway 1855,1855,52.26,Norway
Norway 1856,1856,51.84,Norway
Norway 1857,1857,51.6,Norway
Norway 1858,1858,53.09,Norway
Norway 1859,1859,51.28,Norway
Norway 1860,1860,51.3,Norway
Norway 1864,1864,49.95,Norway
Norway 1865,1865,51.85,Norway
