Entity,Code,Year,December,November,October,September,August,July,June,May,April,March,February,January
Australia,AUS,1962,57.697212,57.893856,60.26428,62.52134,60.14717,60.6048,60.658997,61.744854,61.529507,62.976868,61.668243,59.82727
Australia,AUS,1963,55.153137,55.6179,58.917976,61.67391,58.29399,59.37216,57.92759,57.53125,58.895103,61.20099,60.510933,59.327175
Australia,AUS,1964,53.976795,53.596046,55.411495,57.4975,54.731956,55.956802,57.346237,55.964737,57.431133,57.644035,55.767902,55.790558
Australia,AUS,1965,51.17046,52.201878,54.651173,56.87274,54.26141,53.90222,53.6804,54.64477,52.557003,53.862625,54.591442,52.67602
Australia,AUS,1966,51.217556,53.542236,54.67946,54.714367,52.655396,52.780594,52.16996,51.720165,51.95741,53.985718,51.78673,52.12701
Australia,AUS,1967,51.458168,51.678646,54.206688,55.26717,53.04359,53.563004,52.901875,53.310642,52.483353,54.133774,53.96562,53.16245
Australia,AUS,1968,51.791805,53.344593,56.83058,57.813255,55.759377,54.97983,54.30568,54.946777,54.18821,54.613907,53.43757,51.213593
Australia,AUS,1969,52.91807,52.67549,57.246296,58.291313,55.4389,56.61936,55.662254,55.525997,57.26507,58.067574,56.385067,55.537273
Australia,AUS,1970,58.683372,55.787857,57.8502,58.368114,55.687748,56.466,55.129066,54.12687,55.665108,57.74432,56.833927,54.66853
Australia,AUS,1971,53.962994,53.382984,55.53051,59.578156,57.34663,58.50982,58.90907,58.159573,57.83528,61.030537,61.357967,59.477287
Australia,AUS,1972,51.12742,50.75516,52.133442,55.368958,54.32912,53.944977,55.151897,55.16255,54.96343,58.434937,56.957603,54.353798
Australia,AUS,1973,46.6029,46.164314,49.128372,50.004604,49.774242,49.51608,49.54346,50.43584,51.164326,53.802547,52.075348,50.396755
Australia,AUS,1974,45.53604,45.78779,50.052544,48.1346,47.775425,49.199886,49.60972,50.616123,49.703865,50.81032,50.76262,49.044415
Australia,AUS,1975,44.161396,43.52641,45.006615,46.25788,44.16004,46.63045,46.015068,47.592422,45.94228,47.014805,48.20528,46.757317
Australia,AUS,1976,42.67093,42.84715,43.648148,44.43862,42.169296,43.426075,44.689533,44.354813,45.6914,46.70696,46.041454,44.556946
Australia,AUS,1977,40.877777,41.631676,43.20584,44.569275,43.44644,44.156162,45.3252,45.160805,44.08553,45.808926,45.30207,42.67038
Australia,AUS,1978,40.589485,41.02765,41.99159,43.581367,43.218273,41.457092,43.310223,43.47961,43.833977,45.60107,45.01809,42.361496
Australia,AUS,1979,38.872784,40.30198,41.221905,41.941723,41.716206,42.26058,41.926403,43.717426,43.596775,44.612476,44.376102,41.388252
Australia,AUS,1980,41.618233,38.92479,41.756557,42.979942,40.459682,41.926315,43.261604,43.490482,42.863792,43.0934,42.941666,41.786877
Australia,AUS,1981,41.583546,40.166157,43.03542,45.180267,43.205185,43.52857,44.07631,44.729225,45.52802,45.592205,44.632317,42.397053
Australia,AUS,1982,41.260338,40.9063,42.418205,44.543335,43.627644,43.010536,43.71361,42.569866,43.627426,46.065647,44.335007,41.739563
Australia,AUS,1983,40.008133,40.14832,42.45237,44.709526,43.245163,43.368702,43.624763,43.806713,44.46326,46.702633,45.168285,41.961205
Australia,AUS,1984,40.45755,41.11393,42.585293,42.952705,42.921844,41.876022,42.307777,42.972435,42.88841,45.044292,43.37884,41.433514
Australia,AUS,1985,39.366066,40.880985,43.007458,43.260403,42.486008,42.1442,41.26954,43.10871,43.198463,43.97502,43.213238,42.532066
Australia,AUS,1986,40.336838,39.063057,42.739826,43.37807,41.57191,42.17716,41.28013,41.692036,42.801987,42.718563,42.536896,40.633377
Australia,AUS,1987,38.924255,39.103977,40.267967,43.08967,40.46186,41.796432,41.265965,41.153866,42.254604,43.368355,42.32098,40.01547
Australia,AUS,1988,40.78196,40.946453,41.713478,43.90596,41.584175,40.392235,41.821198,41.18436,41.502,43.56173,41.419342,39.762047
Australia,AUS,1989,39.81043,41.12306,42.355927,43.655884,42.392174,41.407116,42.34293,41.997383,40.3052,41.659424,41.520008,39.611732
Australia,AUS,1990,39.400116,40.88321,43.566414,43.67253,42.814564,42.173893,42.482613,42.367115,42.632866,43.528667,42.57855,40.462524
Australia,AUS,1991,39.11219,38.358524,41.06427,41.584877,41.007557,40.937565,41.113243,41.537193,42.33495,41.97612,41.614544,40.70816
Australia,AUS,1992,38.738163,39.021305,41.7577,43.23225,40.607533,42.183586,41.700752,41.399395,41.92453,42.12007,42.148262,40.83104
Australia,AUS,1993,39.408737,38.594135,40.473083,42.365814,40.008083,40.55475,41.317482,40.453377,41.122692,42.094822,41.06338,39.61843
