Entity,Code,Year,Total fertility rate,Completed cohort fertility rate shifted +30 years,Tempo-adjusted total fertility rate
Spain,ESP,1933,3.57,,
Spain,ESP,1934,3.363,,
Spain,ESP,1935,3.286,,
Spain,ESP,1936,3.142,,
Spain,ESP,1937,2.86,3.062,
Spain,ESP,1938,2.55,3.011,
Spain,ESP,1939,2.12,2.941,
Spain,ESP,1940,3.07,2.854,
Spain,ESP,1941,2.455,2.77,
Spain,ESP,1942,2.522,2.697,
Spain,ESP,1943,2.863,2.635,
Spain,ESP,1944,2.822,2.585,
Spain,ESP,1945,2.889,2.549,
Spain,ESP,1946,2.686,2.527,
Spain,ESP,1947,2.662,2.517,
Spain,ESP,1948,2.875,2.515,
Spain,ESP,1949,2.665,2.515,
Spain,ESP,1950,2.473,2.514,
Spain,ESP,1951,2.455,2.516,
Spain,ESP,1952,2.545,2.521,
Spain,ESP,1953,2.504,2.528,
Spain,ESP,1954,2.436,2.529,
Spain,ESP,1955,2.509,2.53,
Spain,ESP,1956,2.531,2.534,
Spain,ESP,1957,2.686,2.543,
Spain,ESP,1958,2.716,2.558,
Spain,ESP,1959,2.733,2.579,
Spain,ESP,1960,2.793,2.603,
Spain,ESP,1961,2.772,2.631,
Spain,ESP,1962,2.811,2.657,
Spain,ESP,1963,2.884,2.674,
Spain,ESP,1964,3.02,2.682,
Spain,ESP,1965,2.945,2.679,
Spain,ESP,1966,2.932,2.669,
Spain,ESP,1967,2.99,2.662,
Spain,ESP,1968,2.933,2.649,
Spain,ESP,1969,2.924,2.624,
Spain,ESP,1970,2.901,2.59,
Spain,ESP,1971,2.916,2.542,
Spain,ESP,1972,2.888,2.508,
Spain,ESP,1973,2.859,2.48,
Spain,ESP,1974,2.896,2.447,
Spain,ESP,1975,2.765,2.421,
Spain,ESP,1976,2.77,2.376,2.674
Spain,ESP,1977,2.653,2.317,2.583
Spain,ESP,1978,2.542,2.28,2.524
Spain,ESP,1979,2.37,2.221,2.578
Spain,ESP,1980,2.216,2.151,2.574
Spain,ESP,1981,2.038,2.116,2.306
Spain,ESP,1982,1.942,2.086,2.182
Spain,ESP,1983,1.798,2.032,2.05
Spain,ESP,1984,1.726,1.974,2.041
Spain,ESP,1985,1.64,1.934,1.939
Spain,ESP,1986,1.556,1.905,1.863
Spain,ESP,1987,1.494,1.868,1.754
Spain,ESP,1988,1.448,1.823,1.774
Spain,ESP,1989,1.398,1.787,1.803
Spain,ESP,1990,1.361,1.751,1.794
Spain,ESP,1991,1.327,1.71,1.847
Spain,ESP,1992,1.311,1.68,1.8
Spain,ESP,1993,1.257,1.658,1.726
Spain,ESP,1994,1.188,1.638,1.629
Spain,ESP,1995,1.154,1.602,1.476
Spain,ESP,1996,1.137,1.574,1.464
Spain,ESP,1997,1.146,1.555,1.482
Spain,ESP,1998,1.124,1.527,1.365
Spain,ESP,1999,1.161,1.497,1.338
Spain,ESP,2000,1.207,1.476,1.309
Spain,ESP,2001,1.23,1.449,1.305
Spain,ESP,2002,1.252,1.42,1.344
Spain,ESP,2003,1.296,1.402,1.368
Spain,ESP,2004,1.313,,1.367
Spain,ESP,2005,1.329,,1.352
Spain,ESP,2006,1.362,,1.313
Spain,ESP,2007,1.377,,1.299
Spain,ESP,2008,1.446,,1.579
Spain,ESP,2009,1.379,,1.702
Spain,ESP,2010,1.369,,1.709
Spain,ESP,2011,1.342,,1.638
Spain,ESP,2012,1.321,,1.505
Spain,ESP,2013,1.273,,1.44
Spain,ESP,2014,1.318,,1.464
Spain,ESP,2015,1.331,,1.456
Spain,ESP,2016,1.334,,1.429
Spain,ESP,2017,1.306,,1.415
Spain,ESP,2018,1.257,,1.348
Spain,ESP,2019,1.229,,1.317
Spain,ESP,2020,1.18,,1.439
Spain,ESP,2021,1.181,,1.383
Spain,ESP,2022,1.158,,1.16
Spain,ESP,2023,1.119,,
Sweden,SWE,1891,4.142,,
Sweden,SWE,1892,3.966,,
Sweden,SWE,1893,4.039,,
Sweden,SWE,1894,4.019,,
Sweden,SWE,1895,4.083,,
Sweden,SWE,1896,4.048,,
Sweden,SWE,1897,3.977,,
Sweden,SWE,1898,4.043,,
Sweden,SWE,1899,3.929,,
Sweden,SWE,1900,4.013,,
Sweden,SWE,1901,4.009,,
Sweden,SWE,1902,3.926,,
Sweden,SWE,1903,3.811,,
Sweden,SWE,1904,3.814,,
Sweden,SWE,1905,3.796,,
Sweden,SWE,1906,3.789,3.469,
Sweden,SWE,1907,3.751,3.405,
Sweden,SWE,1908,3.754,3.344,
Sweden,SWE,1909,3.726,3.274,
Sweden,SWE,1910,3.57,3.203,
Sweden,SWE,1911,3.45,3.165,
Sweden,SWE,1912,3.401,3.096,
Sweden,SWE,1913,3.29,3.007,
Sweden,SWE,1914,3.229,2.949,
Sweden,SWE,1915,3.033,2.883,
Sweden,SWE,1916,2.959,2.791,
Sweden,SWE,1917,2.899,2.724,
Sweden,SWE,1918,2.803,2.665,
Sweden,SWE,1919,2.705,2.583,
Sweden,SWE,1920,3.198,2.509,
Sweden,SWE,1921,2.902,2.447,
Sweden,SWE,1922,2.63,2.376,
Sweden,SWE,1923,2.524,2.309,
Sweden,SWE,1924,2.401,2.243,
Sweden,SWE,1925,2.309,2.165,
Sweden,SWE,1926,2.193,2.102,
Sweden,SWE,1927,2.08,2.051,
Sweden,SWE,1928,2.054,1.992,
Sweden,SWE,1929,1.926,1.93,
Sweden,SWE,1930,1.931,1.886,
Sweden,SWE,1931,1.847,1.858,
Sweden,SWE,1932,1.799,1.819,
Sweden,SWE,1933,1.688,1.802,
Sweden,SWE,1934,1.676,1.8,
Sweden,SWE,1935,1.676,1.794,
Sweden,SWE,1936,1.726,1.806,
Sweden,SWE,1937,1.745,1.821,
Sweden,SWE,1938,1.805,1.823,
Sweden,SWE,1939,1.862,1.845,
Sweden,SWE,1940,1.824,1.866,
Sweden,SWE,1941,1.894,1.881,
Sweden,SWE,1942,2.163,1.913,
Sweden,SWE,1943,2.382,1.939,
Sweden,SWE,1944,2.57,1.964,
Sweden,SWE,1945,2.588,1.976,
Sweden,SWE,1946,2.543,1.985,
Sweden,SWE,1947,2.481,2.001,
Sweden,SWE,1948,2.454,2.02,
Sweden,SWE,1949,2.369,2.034,
Sweden,SWE,1950,2.28,2.028,
Sweden,SWE,1951,2.199,2.024,
Sweden,SWE,1952,2.225,2.035,
Sweden,SWE,1953,2.255,2.038,
Sweden,SWE,1954,2.181,2.038,
Sweden,SWE,1955,2.253,2.046,
Sweden,SWE,1956,2.286,2.072,
Sweden,SWE,1957,2.284,2.091,
Sweden,SWE,1958,2.261,2.105,
Sweden,SWE,1959,2.254,2.109,
Sweden,SWE,1960,2.197,2.115,
Sweden,SWE,1961,2.229,2.146,
Sweden,SWE,1962,2.256,2.149,
Sweden,SWE,1963,2.336,2.14,
Sweden,SWE,1964,2.482,2.157,
Sweden,SWE,1965,2.416,2.14,
Sweden,SWE,1966,2.361,2.114,
Sweden,SWE,1967,2.267,2.106,
Sweden,SWE,1968,2.072,2.084,
Sweden,SWE,1969,1.927,2.061,
Sweden,SWE,1970,1.92,2.052,
Sweden,SWE,1971,1.961,2.031,1.921
Sweden,SWE,1972,1.913,1.998,1.918
Sweden,SWE,1973,1.867,1.987,1.893
Sweden,SWE,1974,1.876,1.989,1.959
Sweden,SWE,1975,1.769,1.972,2.025
Sweden,SWE,1976,1.682,1.989,1.948
Sweden,SWE,1977,1.645,2,1.872
Sweden,SWE,1978,1.6,1.993,1.931
Sweden,SWE,1979,1.658,2.003,1.973
Sweden,SWE,1980,1.68,2.009,1.917
Sweden,SWE,1981,1.636,2.001,1.883
Sweden,SWE,1982,1.627,2.01,1.88
Sweden,SWE,1983,1.614,2.025,1.894
Sweden,SWE,1984,1.658,2.024,1.878
Sweden,SWE,1985,1.74,2.035,1.889
Sweden,SWE,1986,1.8,2.042,1.997
Sweden,SWE,1987,1.844,2.053,1.964
Sweden,SWE,1988,1.967,2.057,2.021
Sweden,SWE,1989,2.02,2.048,2.06
Sweden,SWE,1990,2.14,2.058,2.251
Sweden,SWE,1991,2.113,2.03,2.395
Sweden,SWE,1992,2.077,2.036,2.358
Sweden,SWE,1993,1.982,2.028,2.304
Sweden,SWE,1994,1.883,2.014,2.221
Sweden,SWE,1995,1.731,2.014,2.089
Sweden,SWE,1996,1.6,2.005,1.929
Sweden,SWE,1997,1.528,1.997,1.869
Sweden,SWE,1998,1.517,1.997,1.828
Sweden,SWE,1999,1.512,1.993,1.701
Sweden,SWE,2000,1.559,1.999,1.839
Sweden,SWE,2001,1.58,1.977,1.875
Sweden,SWE,2002,1.665,1.976,1.943
Sweden,SWE,2003,1.731,1.96,2.041
Sweden,SWE,2004,1.771,1.965,1.978
Sweden,SWE,2005,1.787,,1.955
Sweden,SWE,2006,1.869,,2.023
Sweden,SWE,2007,1.892,,1.94
Sweden,SWE,2008,1.917,,2.016
Sweden,SWE,2009,1.937,,2.078
Sweden,SWE,2010,1.987,,2.074
Sweden,SWE,2011,1.9,,1.995
Sweden,SWE,2012,1.905,,1.98
Sweden,SWE,2013,1.888,,1.921
Sweden,SWE,2014,1.88,,1.889
Sweden,SWE,2015,1.848,,1.903
Sweden,SWE,2016,1.853,,1.958
Sweden,SWE,2017,1.784,,1.857
Sweden,SWE,2018,1.756,,1.914
Sweden,SWE,2019,1.71,,1.957
Sweden,SWE,2020,1.669,,1.898
Sweden,SWE,2021,1.673,,1.918
Sweden,SWE,2022,1.525,,1.759
Sweden,SWE,2023,1.454,,1.699
Sweden,SWE,2024,1.434,,
Switzerland,CHE,1932,1.943,,
Switzerland,CHE,1933,1.894,,
Switzerland,CHE,1934,1.875,,
Switzerland,CHE,1935,1.843,,
Switzerland,CHE,1936,1.803,,
Switzerland,CHE,1937,1.737,,
Switzerland,CHE,1938,1.78,,
Switzerland,CHE,1939,1.793,,
Switzerland,CHE,1940,1.816,,
Switzerland,CHE,1941,2.05,,
Switzerland,CHE,1942,2.265,,
Switzerland,CHE,1943,2.403,,
Switzerland,CHE,1944,2.496,,
Switzerland,CHE,1945,2.598,,
Switzerland,CHE,1946,2.617,,
Switzerland,CHE,1947,2.559,2.209,
Switzerland,CHE,1948,2.539,2.229,
Switzerland,CHE,1949,2.44,2.215,
Switzerland,CHE,1950,2.401,2.216,
Switzerland,CHE,1951,2.301,2.221,
Switzerland,CHE,1952,2.324,2.205,
Switzerland,CHE,1953,2.286,2.229,
Switzerland,CHE,1954,2.283,2.215,
Switzerland,CHE,1955,2.302,2.192,
Switzerland,CHE,1956,2.349,2.223,
Switzerland,CHE,1957,2.405,2.189,
Switzerland,CHE,1958,2.4,2.192,
Switzerland,CHE,1959,2.424,2.194,
Switzerland,CHE,1960,2.443,2.175,
Switzerland,CHE,1961,2.529,2.18,
Switzerland,CHE,1962,2.594,2.188,
Switzerland,CHE,1963,2.666,2.197,
Switzerland,CHE,1964,2.675,2.199,
Switzerland,CHE,1965,2.605,2.173,
Switzerland,CHE,1966,2.516,2.186,
Switzerland,CHE,1967,2.408,2.167,
Switzerland,CHE,1968,2.3,2.156,
Switzerland,CHE,1969,2.192,2.123,
Switzerland,CHE,1970,2.104,2.08,
Switzerland,CHE,1971,2.038,2.033,
Switzerland,CHE,1972,1.913,1.969,
Switzerland,CHE,1973,1.81,1.923,
Switzerland,CHE,1974,1.733,1.885,
Switzerland,CHE,1975,1.614,1.855,
Switzerland,CHE,1976,1.547,1.852,
Switzerland,CHE,1977,1.533,1.823,
Switzerland,CHE,1978,1.508,1.813,
Switzerland,CHE,1979,1.522,1.808,
Switzerland,CHE,1980,1.554,1.796,
Switzerland,CHE,1981,1.546,1.77,
Switzerland,CHE,1982,1.557,1.757,
Switzerland,CHE,1983,1.519,1.758,
Switzerland,CHE,1984,1.529,1.754,
Switzerland,CHE,1985,1.516,1.751,
Switzerland,CHE,1986,1.532,1.756,
Switzerland,CHE,1987,1.516,1.742,
Switzerland,CHE,1988,1.569,1.751,
Switzerland,CHE,1989,1.564,1.774,
Switzerland,CHE,1990,1.592,1.78,
Switzerland,CHE,1991,1.596,1.767,
Switzerland,CHE,1992,1.576,1.746,
Switzerland,CHE,1993,1.508,1.721,
Switzerland,CHE,1994,1.489,1.695,
Switzerland,CHE,1995,1.477,1.672,
Switzerland,CHE,1996,1.502,1.669,
Switzerland,CHE,1997,1.478,1.658,
Switzerland,CHE,1998,1.47,1.652,
Switzerland,CHE,1999,1.482,1.657,1.641
Switzerland,CHE,2000,1.496,1.646,1.832
Switzerland,CHE,2001,1.384,1.638,1.645
Switzerland,CHE,2002,1.39,1.65,1.585
Switzerland,CHE,2003,1.385,1.649,1.648
Switzerland,CHE,2004,1.416,,1.707
Switzerland,CHE,2005,1.42,,1.665
Switzerland,CHE,2006,1.437,,1.679
Switzerland,CHE,2007,1.456,,1.706
Switzerland,CHE,2008,1.484,,1.753
Switzerland,CHE,2009,1.497,,1.74
Switzerland,CHE,2010,1.524,,1.742
Switzerland,CHE,2011,1.518,,1.73
Switzerland,CHE,2012,1.526,,1.67
Switzerland,CHE,2013,1.517,,1.712
Switzerland,CHE,2014,1.539,,1.731
Switzerland,CHE,2015,1.54,,1.638
Switzerland,CHE,2016,1.546,,1.649
Switzerland,CHE,2017,1.522,,1.659
Switzerland,CHE,2018,1.519,,1.671
Switzerland,CHE,2019,1.48,,1.581
Switzerland,CHE,2020,1.465,,1.588
Switzerland,CHE,2021,1.517,,1.664
Switzerland,CHE,2022,1.388,,1.475
Switzerland,CHE,2023,1.332,,
Taiwan,TWN,1976,3.072,,
Taiwan,TWN,1977,2.68,,2.768
Taiwan,TWN,1978,2.68,,2.914
Taiwan,TWN,1979,2.631,,2.842
Taiwan,TWN,1980,2.49,,2.8
Taiwan,TWN,1981,2.434,,2.768
Taiwan,TWN,1982,2.301,,2.67
Taiwan,TWN,1983,2.14,,2.557
Taiwan,TWN,1984,2.038,,2.483
Taiwan,TWN,1985,1.872,,2.323
Taiwan,TWN,1986,1.66,,2.041
Taiwan,TWN,1987,1.686,,2.057
Taiwan,TWN,1988,1.834,,2.323
Taiwan,TWN,1989,1.677,,2.045
Taiwan,TWN,1990,1.8,,2.057
Taiwan,TWN,1991,1.716,2.175,1.979
Taiwan,TWN,1992,1.729,2.14,1.974
Taiwan,TWN,1993,1.76,2.075,2.027
Taiwan,TWN,1994,1.754,2.015,2.052
Taiwan,TWN,1995,1.775,1.956,1.999
Taiwan,TWN,1996,1.769,1.905,2.029
Taiwan,TWN,1997,1.778,1.874,2.123
Taiwan,TWN,1998,1.469,1.82,1.798
Taiwan,TWN,1999,1.551,1.764,1.811
Taiwan,TWN,2000,1.674,1.724,1.863
Taiwan,TWN,2001,1.4,1.68,1.563
Taiwan,TWN,2002,1.337,1.649,1.584
Taiwan,TWN,2003,1.231,1.617,1.513
Taiwan,TWN,2004,1.177,,1.486
Taiwan,TWN,2005,1.116,,1.554
Taiwan,TWN,2006,1.108,,1.668
Taiwan,TWN,2007,1.091,,1.602
Taiwan,TWN,2008,1.05,,1.543
Taiwan,TWN,2009,1.022,,1.559
Taiwan,TWN,2010,0.887,,1.228
Taiwan,TWN,2011,1.056,,1.287
Taiwan,TWN,2012,1.257,,1.536
Taiwan,TWN,2013,1.056,,1.26
Taiwan,TWN,2014,1.159,,1.273
Taiwan,TWN,2015,1.187,,1.327
Taiwan,TWN,2016,1.175,,1.33
Taiwan,TWN,2017,1.122,,1.222
Taiwan,TWN,2018,1.062,,1.153
Taiwan,TWN,2019,1.049,,1.151
Taiwan,TWN,2020,0.985,,1.108
Taiwan,TWN,2021,0.98,,1.153
Taiwan,TWN,2022,0.876,,0.977
Taiwan,TWN,2023,0.864,,
Ukraine,UKR,1959,2.282,,
Ukraine,UKR,1960,2.248,,2.008
Ukraine,UKR,1961,2.156,,2.139
Ukraine,UKR,1962,2.135,,2.18
Ukraine,UKR,1963,2.105,,2.062
Ukraine,UKR,1964,2.015,,2.114
Ukraine,UKR,1965,1.942,,1.916
Ukraine,UKR,1966,2.054,,1.957
Ukraine,UKR,1967,2.058,,1.892
Ukraine,UKR,1968,2.048,,1.918
Ukraine,UKR,1969,2.034,,1.88
Ukraine,UKR,1970,2.106,,1.977
Ukraine,UKR,1971,2.123,,2.053
Ukraine,UKR,1972,2.125,,2.129
Ukraine,UKR,1973,2.03,,1.906
Ukraine,UKR,1974,2.062,1.839,1.805
Ukraine,UKR,1975,2.051,1.831,1.829
Ukraine,UKR,1976,2.047,1.856,1.855
Ukraine,UKR,1977,1.972,1.867,1.807
Ukraine,UKR,1978,1.962,1.886,1.781
Ukraine,UKR,1979,1.944,1.916,1.816
Ukraine,UKR,1980,1.938,1.901,1.86
Ukraine,UKR,1981,1.899,1.911,1.779
Ukraine,UKR,1982,1.927,1.883,1.811
Ukraine,UKR,1983,2.097,1.848,1.992
Ukraine,UKR,1984,2.076,1.839,1.941
Ukraine,UKR,1985,2.021,1.831,2.001
Ukraine,UKR,1986,2.128,1.824,2.096
Ukraine,UKR,1987,2.074,1.842,1.99
Ukraine,UKR,1988,2.058,1.862,1.943
Ukraine,UKR,1989,1.933,1.857,1.742
Ukraine,UKR,1990,1.848,1.834,1.672
Ukraine,UKR,1991,1.774,1.806,1.651
Ukraine,UKR,1992,1.673,1.774,1.605
Ukraine,UKR,1993,1.561,1.739,1.566
Ukraine,UKR,1994,1.467,,1.473
Ukraine,UKR,1995,1.398,,1.42
Ukraine,UKR,1996,1.335,,1.469
Ukraine,UKR,1997,1.272,,1.465
Ukraine,UKR,1998,1.211,,1.428
Ukraine,UKR,1999,1.127,,1.367
Ukraine,UKR,2000,1.116,,1.396
Ukraine,UKR,2001,1.089,,1.345
Ukraine,UKR,2002,1.125,,1.371
Ukraine,UKR,2003,1.169,,1.465
Ukraine,UKR,2004,1.215,,1.492
Ukraine,UKR,2005,1.207,,1.403
Ukraine,UKR,2006,1.3,,1.469
Ukraine,UKR,2007,1.334,,1.492
Ukraine,UKR,2008,1.446,,1.619
Ukraine,UKR,2009,1.46,,1.66
Ukraine,UKR,2010,1.429,,1.58
Ukraine,UKR,2011,1.459,,1.564
Ukraine,UKR,2012,1.531,,1.625
Ukraine,UKR,2013,1.506,,
United Kingdom,GBR,1974,1.914,,
United Kingdom,GBR,1975,1.805,,
United Kingdom,GBR,1976,1.739,,
United Kingdom,GBR,1977,1.683,,
United Kingdom,GBR,1978,1.75,,
United Kingdom,GBR,1979,1.86,,
United Kingdom,GBR,1980,1.894,,
United Kingdom,GBR,1981,1.823,,
United Kingdom,GBR,1982,1.779,,
United Kingdom,GBR,1983,1.768,,
United Kingdom,GBR,1984,1.766,,
United Kingdom,GBR,1985,1.793,,
United Kingdom,GBR,1986,1.78,,
United Kingdom,GBR,1987,1.811,,
United Kingdom,GBR,1988,1.824,,
United Kingdom,GBR,1989,1.791,1.983,
United Kingdom,GBR,1990,1.834,1.98,
United Kingdom,GBR,1991,1.818,1.952,
United Kingdom,GBR,1992,1.795,1.933,
United Kingdom,GBR,1993,1.758,1.929,
United Kingdom,GBR,1994,1.74,1.925,
United Kingdom,GBR,1995,1.709,1.917,
United Kingdom,GBR,1996,1.727,1.905,
United Kingdom,GBR,1997,1.725,1.906,
United Kingdom,GBR,1998,1.714,1.911,
United Kingdom,GBR,1999,1.685,1.905,
United Kingdom,GBR,2000,1.642,1.903,
United Kingdom,GBR,2001,1.627,1.895,
United Kingdom,GBR,2002,1.632,1.882,
United Kingdom,GBR,2003,1.703,,
United Kingdom,GBR,2004,1.752,,
United Kingdom,GBR,2005,1.762,,
United Kingdom,GBR,2006,1.817,,
United Kingdom,GBR,2007,1.866,,
United Kingdom,GBR,2008,1.911,,
United Kingdom,GBR,2009,1.893,,
United Kingdom,GBR,2010,1.923,,
United Kingdom,GBR,2011,1.911,,
United Kingdom,GBR,2012,1.911,,
United Kingdom,GBR,2013,1.817,,
United Kingdom,GBR,2014,1.796,,2.148
United Kingdom,GBR,2015,1.78,,2.153
United Kingdom,GBR,2016,1.758,,2.061
United Kingdom,GBR,2017,1.7,,1.9
United Kingdom,GBR,2018,1.636,,1.819
United Kingdom,GBR,2019,1.588,,1.751
United Kingdom,GBR,2020,1.514,,1.746
United Kingdom,GBR,2021,1.536,,1.67
United Kingdom,GBR,2022,1.481,,
United States,USA,1933,2.012,,
United States,USA,1934,2.072,,2.101
United States,USA,1935,2.038,,2.098
United States,USA,1936,2.007,,2.011
United States,USA,1937,2.038,,2.06
United States,USA,1938,2.092,,2.17
United States,USA,1939,2.05,,2.107
United States,USA,1940,2.113,,2.158
United States,USA,1941,2.226,,2.331
United States,USA,1942,2.465,,2.615
United States,USA,1943,2.566,,2.814
United States,USA,1944,2.439,,3.071
United States,USA,1945,2.38,,2.638
United States,USA,1946,2.83,,2.507
United States,USA,1947,3.161,,2.493
United States,USA,1948,3.009,2.507,2.4
United States,USA,1949,3.022,2.595,2.646
United States,USA,1950,3.02,2.708,2.737
United States,USA,1951,3.203,2.749,2.988
United States,USA,1952,3.302,2.784,3.066
United States,USA,1953,3.372,2.852,3.038
United States,USA,1954,3.494,2.942,3.15
United States,USA,1955,3.538,2.986,3.125
United States,USA,1956,3.654,3.025,3.259
United States,USA,1957,3.738,3.092,3.39
United States,USA,1958,3.689,3.109,3.353
United States,USA,1959,3.689,3.171,3.423
United States,USA,1960,3.667,3.239,3.496
United States,USA,1961,3.626,3.241,3.49
United States,USA,1962,3.481,3.253,3.483
United States,USA,1963,3.354,3.256,3.644
United States,USA,1964,3.222,3.254,3.64
United States,USA,1965,2.926,3.214,3.298
United States,USA,1966,2.714,3.131,2.958
United States,USA,1967,2.564,3.059,2.822
United States,USA,1968,2.467,2.983,2.662
United States,USA,1969,2.457,2.892,2.507
United States,USA,1970,2.461,2.795,2.535
United States,USA,1971,2.268,2.68,2.46
United States,USA,1972,2.008,2.561,2.23
United States,USA,1973,1.871,2.464,2.065
United States,USA,1974,1.827,2.365,2.026
United States,USA,1975,1.769,2.292,1.995
United States,USA,1976,1.739,2.215,1.957
United States,USA,1977,1.783,2.15,1.967
United States,USA,1978,1.747,2.104,1.93
United States,USA,1979,1.795,2.057,1.939
United States,USA,1980,1.821,2.022,1.999
United States,USA,1981,1.806,1.998,2.009
United States,USA,1982,1.815,1.982,1.998
United States,USA,1983,1.784,1.972,1.991
United States,USA,1984,1.793,1.974,1.961
United States,USA,1985,1.835,1.981,1.97
United States,USA,1986,1.835,1.985,1.994
United States,USA,1987,1.865,1.987,1.989
United States,USA,1988,1.922,1.991,1.952
United States,USA,1989,1.998,2.012,1.998
United States,USA,1990,2.068,2.024,2.038
United States,USA,1991,2.056,2.024,2.067
United States,USA,1992,2.042,2.034,2.181
United States,USA,1993,2.018,2.051,2.224
United States,USA,1994,2.001,2.066,2.252
United States,USA,1995,1.98,2.075,2.215
United States,USA,1996,1.978,2.089,2.178
United States,USA,1997,1.973,2.109,2.141
United States,USA,1998,2.002,2.111,2.187
United States,USA,1999,2.008,2.114,2.26
United States,USA,2000,2.053,2.137,2.335
United States,USA,2001,2.031,2.161,2.328
United States,USA,2002,2.024,2.183,2.387
United States,USA,2003,2.053,2.203,2.309
United States,USA,2004,2.058,,2.148
United States,USA,2005,2.061,,2.065
United States,USA,2006,2.112,,2.119
United States,USA,2007,2.122,,2.242
United States,USA,2008,2.074,,2.295
United States,USA,2009,2.002,,2.355
United States,USA,2010,1.925,,2.335
United States,USA,2011,1.889,,2.209
United States,USA,2012,1.874,,2.173
United States,USA,2013,1.851,,2.197
United States,USA,2014,1.863,,2.166
United States,USA,2015,1.845,,2.141
United States,USA,2016,1.817,,2.078
United States,USA,2017,1.765,,1.99
United States,USA,2018,1.727,,1.914
United States,USA,2019,1.702,,1.838
United States,USA,2020,1.639,,1.865
United States,USA,2021,1.659,,1.906
United States,USA,2022,1.657,,1.815
United States,USA,2023,1.622,,
West Germany,OWID_GFR,1956,2.192,,
West Germany,OWID_GFR,1957,2.28,,
West Germany,OWID_GFR,1958,2.289,,
West Germany,OWID_GFR,1959,2.368,,
West Germany,OWID_GFR,1960,2.372,,
West Germany,OWID_GFR,1961,2.448,,
West Germany,OWID_GFR,1962,2.443,,
West Germany,OWID_GFR,1963,2.52,,
West Germany,OWID_GFR,1964,2.551,,
West Germany,OWID_GFR,1965,2.509,,
West Germany,OWID_GFR,1966,2.535,,
West Germany,OWID_GFR,1967,2.488,,
West Germany,OWID_GFR,1968,2.386,,
West Germany,OWID_GFR,1969,2.213,,
West Germany,OWID_GFR,1970,1.991,,
West Germany,OWID_GFR,1971,1.919,1.902,
West Germany,OWID_GFR,1972,1.716,1.85,
West Germany,OWID_GFR,1973,1.542,1.809,
West Germany,OWID_GFR,1974,1.511,1.777,
West Germany,OWID_GFR,1975,1.45,1.774,
West Germany,OWID_GFR,1976,1.457,1.778,
West Germany,OWID_GFR,1977,1.403,1.75,
West Germany,OWID_GFR,1978,1.379,1.728,
West Germany,OWID_GFR,1979,1.378,1.714,
West Germany,OWID_GFR,1980,1.448,1.7,
West Germany,OWID_GFR,1981,1.434,1.658,
West Germany,OWID_GFR,1982,1.407,1.647,
West Germany,OWID_GFR,1983,1.33,1.63,
West Germany,OWID_GFR,1984,1.294,1.607,
West Germany,OWID_GFR,1985,1.281,1.623,
West Germany,OWID_GFR,1986,1.345,1.621,
West Germany,OWID_GFR,1987,1.362,1.605,
West Germany,OWID_GFR,1988,1.416,1.608,
West Germany,OWID_GFR,1989,1.394,1.606,
West Germany,OWID_GFR,1990,1.459,1.609,
West Germany,OWID_GFR,1991,1.429,1.587,
West Germany,OWID_GFR,1992,1.414,1.574,
West Germany,OWID_GFR,1993,1.404,1.554,
West Germany,OWID_GFR,1994,1.358,1.539,
West Germany,OWID_GFR,1995,1.351,1.53,
West Germany,OWID_GFR,1996,1.413,1.51,
West Germany,OWID_GFR,1997,1.456,1.489,
West Germany,OWID_GFR,1998,1.429,,
West Germany,OWID_GFR,1999,1.422,,
West Germany,OWID_GFR,2000,1.436,,
West Germany,OWID_GFR,2001,1.399,,
West Germany,OWID_GFR,2002,1.389,,
West Germany,OWID_GFR,2003,1.383,,
West Germany,OWID_GFR,2004,1.396,,
West Germany,OWID_GFR,2005,1.376,,
West Germany,OWID_GFR,2006,1.363,,
West Germany,OWID_GFR,2007,1.4,,
West Germany,OWID_GFR,2008,1.403,,
West Germany,OWID_GFR,2009,1.376,,
West Germany,OWID_GFR,2010,1.408,,1.671
West Germany,OWID_GFR,2011,1.381,,1.584
West Germany,OWID_GFR,2012,1.4,,1.59
West Germany,OWID_GFR,2013,1.413,,1.624
West Germany,OWID_GFR,2014,1.471,,1.585
West Germany,OWID_GFR,2015,1.503,,1.484
West Germany,OWID_GFR,2016,1.602,,1.644
West Germany,OWID_GFR,2017,1.578,,
