The chart renders data for the **United Kingdom** (`const entity = "United Kingdom"`), so I'll use the UK's PM₂.₅ values.

PM₂.₅ emissions (UK), 1990–1999:

| Year | PM₂.₅ (tonnes) |
|------|----------------|
| 1990 | 237,000 |
| 1991 | 236,000 |
| 1992 | 226,000 |
| 1993 | 211,000 |
| 1994 | 202,000 |
| 1995 | 184,000 |
| 1996 | 182,000 |
| 1997 | 173,000 |
| 1998 | 165,000 |
| 1999 | 162,000 |

Sum = 1,978,000 tonnes over 10 years.

**Average = 197,800 tonnes** of PM₂.₅ per year throughout the 1990s.
