Entity,Code,Year,Urban,Rural
Australia and New Zealand (UN SDG),UNSDG_ANZ,2006,99.01975,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2007,99.12772,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2008,99.23572,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2009,99.344376,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2010,99.453735,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2011,99.56337,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2012,99.6733,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2013,99.68079,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2014,99.68489,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2015,99.689026,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2016,99.6848,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2017,99.680565,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2018,99.67632,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2019,99.67209,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2020,99.66786,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2021,99.663605,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2022,99.65933,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2023,99.655075,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2024,99.65081,
Azerbaijan,AZE,2000,74.07977,22.112453
Azerbaijan,AZE,2001,74.19283,22.523123
Azerbaijan,AZE,2002,74.3059,22.93379
Azerbaijan,AZE,2003,74.41896,23.34446
Azerbaijan,AZE,2004,74.53202,23.755129
Azerbaijan,AZE,2005,74.64509,24.165798
Azerbaijan,AZE,2006,74.75815,24.576466
Azerbaijan,AZE,2007,74.87121,24.987135
Azerbaijan,AZE,2008,74.98427,25.397804
Azerbaijan,AZE,2009,75.097336,25.808474
Azerbaijan,AZE,2010,75.210396,26.219143
Azerbaijan,AZE,2011,75.323456,26.62981
Azerbaijan,AZE,2012,75.43652,27.04048
Azerbaijan,AZE,2013,75.54958,27.451149
Azerbaijan,AZE,2014,75.66264,27.861818
Azerbaijan,AZE,2015,75.7757,28.272488
Azerbaijan,AZE,2016,75.88877,28.683155
Azerbaijan,AZE,2017,76.00183,29.093824
Azerbaijan,AZE,2018,76.11489,29.504494
Azerbaijan,AZE,2019,76.22796,29.915163
Azerbaijan,AZE,2020,76.34102,30.32583
Azerbaijan,AZE,2021,76.45408,30.7365
Azerbaijan,AZE,2022,76.52826,31.14717
Azerbaijan,AZE,2023,76.52826,31.557838
Azerbaijan,AZE,2024,76.52826,31.968508
Bangladesh,BGD,2000,42.14081,59.37396
Bangladesh,BGD,2001,42.16319,59.49012
Bangladesh,BGD,2002,42.185574,59.60628
Bangladesh,BGD,2003,42.20796,59.72244
Bangladesh,BGD,2004,42.23034,59.8386
Bangladesh,BGD,2005,42.252724,59.95476
Bangladesh,BGD,2006,42.27511,60.07092
Bangladesh,BGD,2007,42.29749,60.18708
Bangladesh,BGD,2008,42.319874,60.30324
Bangladesh,BGD,2009,42.34226,60.4194
Bangladesh,BGD,2010,42.36464,60.53556
Bangladesh,BGD,2011,42.387024,60.651722
Bangladesh,BGD,2012,43.565025,60.815647
Bangladesh,BGD,2013,44.744247,60.97975
Bangladesh,BGD,2014,45.924686,61.144043
Bangladesh,BGD,2015,47.106346,61.308517
Bangladesh,BGD,2016,48.289227,61.47317
Bangladesh,BGD,2017,49.473328,61.63801
Bangladesh,BGD,2018,50.65865,61.803032
Bangladesh,BGD,2019,51.84519,61.968235
Bangladesh,BGD,2020,53.032948,62.13362
Bangladesh,BGD,2021,54.221928,62.299187
Bangladesh,BGD,2022,54.250412,62.39401
Bangladesh,BGD,2023,54.278893,62.44982
Bangladesh,BGD,2024,54.307377,62.505524
Benin,BEN,2000,27.942263,5.6719937
Benin,BEN,2001,27.963072,5.713184
Benin,BEN,2002,27.983881,5.754374
Benin,BEN,2003,28.00469,5.795564
Benin,BEN,2004,28.025497,5.8367543
Benin,BEN,2005,28.046307,5.8779445
Benin,BEN,2006,28.067116,5.9191346
Benin,BEN,2007,28.087925,5.960325
Benin,BEN,2008,28.108734,6.001515
Benin,BEN,2009,28.129541,6.042705
Benin,BEN,2010,28.15035,6.083895
Benin,BEN,2011,28.17116,6.1250854
Benin,BEN,2012,28.191969,6.1662755
Benin,BEN,2013,28.212778,6.2074656
Benin,BEN,2014,28.233585,6.248656
Benin,BEN,2015,28.254395,6.289846
Benin,BEN,2016,28.275204,6.331036
Benin,BEN,2017,28.296013,6.372226
Benin,BEN,2018,28.316822,6.4134164
Benin,BEN,2019,28.33763,6.4546065
Benin,BEN,2020,28.358438,6.4957967
Benin,BEN,2021,28.379248,6.536987
Benin,BEN,2022,28.400057,6.578177
Benin,BEN,2023,28.420866,6.619367
Benin,BEN,2024,28.441673,6.6605573
Bhutan,BTN,2000,41.500854,23.989151
Bhutan,BTN,2001,41.524143,24.283903
Bhutan,BTN,2002,41.547432,24.578653
Bhutan,BTN,2003,41.57072,24.873405
Bhutan,BTN,2004,41.59401,25.168156
Bhutan,BTN,2005,41.6173,25.462908
Bhutan,BTN,2006,41.640587,25.757658
Bhutan,BTN,2007,41.66388,26.05241
Bhutan,BTN,2008,41.68717,26.34716
Bhutan,BTN,2009,41.710457,26.641912
Bhutan,BTN,2010,41.733746,26.936663
Bhutan,BTN,2011,41.757034,31.024088
Bhutan,BTN,2012,41.780323,35.193615
Bhutan,BTN,2013,41.80361,39.445248
Bhutan,BTN,2014,43.58492,43.778984
Bhutan,BTN,2015,45.368183,48.19482
Bhutan,BTN,2016,47.153408,52.69276
Bhutan,BTN,2017,48.940586,57.272808
Bhutan,BTN,2018,50.729725,61.792366
Bhutan,BTN,2019,52.52082,66.34457
Bhutan,BTN,2020,54.313873,70.44497
Bhutan,BTN,2021,56.108887,74.54537
Bhutan,BTN,2022,57.905853,75.44517
Bhutan,BTN,2023,59.70478,72.19228
Bhutan,BTN,2024,61.505665,68.9394
Botswana,BWA,2000,84.13215,
Botswana,BWA,2001,84.03966,
Botswana,BWA,2002,83.94717,
Botswana,BWA,2003,83.85468,
Botswana,BWA,2004,83.76219,
Botswana,BWA,2005,83.66971,
Botswana,BWA,2006,83.40221,
Botswana,BWA,2007,82.58167,
Botswana,BWA,2008,81.76276,
Botswana,BWA,2009,80.94545,
Botswana,BWA,2010,80.12975,
Botswana,BWA,2011,79.315674,
Botswana,BWA,2012,78.503204,
Botswana,BWA,2013,77.69235,
Botswana,BWA,2014,76.88312,
Botswana,BWA,2015,76.075485,
Botswana,BWA,2016,75.26948,
Botswana,BWA,2017,74.46508,
Botswana,BWA,2018,73.66229,
Botswana,BWA,2019,72.86112,
Botswana,BWA,2020,72.06156,
Botswana,BWA,2021,71.26362,
Botswana,BWA,2022,70.467285,
Botswana,BWA,2023,69.67257,
Botswana,BWA,2024,68.87946,
Brazil,BRA,2000,82.29502,47.679283
Brazil,BRA,2001,82.35737,49.66074
Brazil,BRA,2002,82.41972,51.67753
Brazil,BRA,2003,82.48207,53.72965
Brazil,BRA,2004,82.544426,55.316986
Brazil,BRA,2005,82.60678,56.01417
Brazil,BRA,2006,82.66913,56.711357
Brazil,BRA,2007,82.73148,57.40854
Brazil,BRA,2008,82.79384,58.105724
Brazil,BRA,2009,82.856186,58.80291
Brazil,BRA,2010,82.91854,59.500095
Brazil,BRA,2011,82.980896,60.19728
Brazil,BRA,2012,83.04324,60.894463
Brazil,BRA,2013,83.68477,61.92537
Brazil,BRA,2014,84.32716,62.96383
Brazil,BRA,2015,84.97043,64.00984
Brazil,BRA,2016,85.61456,64.97777
Brazil,BRA,2017,86.25957,66.12454
Brazil,BRA,2018,86.90543,67.19322
Brazil,BRA,2019,87.55218,68.269455
Brazil,BRA,2020,88.175,69.35325
Brazil,BRA,2021,88.75718,70.444595
Brazil,BRA,2022,89.33935,71.543495
Brazil,BRA,2023,90.08158,72.649956
Brazil,BRA,2024,90.664665,73.63613
Cambodia,KHM,2000,46.533577,10.436618
Cambodia,KHM,2001,46.990322,10.852596
Cambodia,KHM,2002,47.447067,11.268575
Cambodia,KHM,2003,47.903812,11.684553
Cambodia,KHM,2004,48.360558,12.100533
Cambodia,KHM,2005,48.817307,12.516511
Cambodia,KHM,2006,49.27405,12.932489
Cambodia,KHM,2007,49.730797,13.348468
Cambodia,KHM,2008,50.187542,13.764446
Cambodia,KHM,2009,50.644287,14.180426
Cambodia,KHM,2010,51.101032,14.596404
Cambodia,KHM,2011,51.557777,15.0123825
Cambodia,KHM,2012,52.014523,15.428361
Cambodia,KHM,2013,52.471268,15.844339
Cambodia,KHM,2014,52.928013,16.260319
Cambodia,KHM,2015,53.384758,16.676296
Cambodia,KHM,2016,53.841503,17.092276
Cambodia,KHM,2017,54.29825,17.508255
Cambodia,KHM,2018,54.754993,17.924232
Cambodia,KHM,2019,55.21174,18.340212
Cambodia,KHM,2020,55.668484,18.75619
Cambodia,KHM,2021,56.12523,19.172169
Cambodia,KHM,2022,56.581974,19.588148
Cambodia,KHM,2023,56.92613,20.004126
Cambodia,KHM,2024,57.160923,20.420105
Central African Republic,CAF,2000,17.001358,3.4183595
Central African Republic,CAF,2001,16.715727,3.3571692
Central African Republic,CAF,2002,16.43129,3.2964845
Central African Republic,CAF,2003,16.148045,3.2363055
Central African Republic,CAF,2004,15.8659935,3.1766322
Central African Republic,CAF,2005,15.585135,3.1174645
Central African Republic,CAF,2006,15.3054695,3.0588026
Central African Republic,CAF,2007,15.0269985,3.0006464
Central African Republic,CAF,2008,14.74972,2.9429958
Central African Republic,CAF,2009,14.473634,2.8858507
Central African Republic,CAF,2010,14.198742,2.8292115
Central African Republic,CAF,2011,13.925043,2.7730777
Central African Republic,CAF,2012,13.652537,2.71745
Central African Republic,CAF,2013,13.381225,2.6623275
Central African Republic,CAF,2014,13.111105,2.6077108
Central African Republic,CAF,2015,12.842179,2.5535998
Central African Republic,CAF,2016,12.574447,2.4999945
Central African Republic,CAF,2017,12.307907,2.446895
Central African Republic,CAF,2018,12.042561,2.394301
Central African Republic,CAF,2019,11.778407,2.3422127
Central African Republic,CAF,2020,11.515448,2.29063
Central African Republic,CAF,2021,11.25368,2.239553
Central African Republic,CAF,2022,11.25368,2.239553
Central African Republic,CAF,2023,11.25368,2.239553
Central African Republic,CAF,2024,11.25368,2.239553
Central and Southern Asia (UN SDG),UNSDG_CSA,2000,74.90099,36.31014
Central and Southern Asia (UN SDG),UNSDG_CSA,2001,75.33708,37.596363
Central and Southern Asia (UN SDG),UNSDG_CSA,2002,75.75199,38.893726
Central and Southern Asia (UN SDG),UNSDG_CSA,2003,76.17269,40.20698
Central and Southern Asia (UN SDG),UNSDG_CSA,2004,76.62305,41.564503
Central and Southern Asia (UN SDG),UNSDG_CSA,2005,76.939415,42.972576
Central and Southern Asia (UN SDG),UNSDG_CSA,2006,77.246124,44.405437
Central and Southern Asia (UN SDG),UNSDG_CSA,2007,77.55303,45.879868
Central and Southern Asia (UN SDG),UNSDG_CSA,2008,77.8535,47.369644
Central and Southern Asia (UN SDG),UNSDG_CSA,2009,78.14863,48.86139
Central and Southern Asia (UN SDG),UNSDG_CSA,2010,78.44328,50.369736
Central and Southern Asia (UN SDG),UNSDG_CSA,2011,78.73501,51.885674
Central and Southern Asia (UN SDG),UNSDG_CSA,2012,79.024475,53.411633
Central and Southern Asia (UN SDG),UNSDG_CSA,2013,79.31771,54.95563
Central and Southern Asia (UN SDG),UNSDG_CSA,2014,79.61541,56.51725
Central and Southern Asia (UN SDG),UNSDG_CSA,2015,79.91878,58.101967
Central and Southern Asia (UN SDG),UNSDG_CSA,2016,80.225784,59.708775
Central and Southern Asia (UN SDG),UNSDG_CSA,2017,80.535286,61.335342
Central and Southern Asia (UN SDG),UNSDG_CSA,2018,80.84029,62.963383
Central and Southern Asia (UN SDG),UNSDG_CSA,2019,81.143364,64.609245
Central and Southern Asia (UN SDG),UNSDG_CSA,2020,81.43631,66.2615
Central and Southern Asia (UN SDG),UNSDG_CSA,2021,81.731224,67.93546
Central and Southern Asia (UN SDG),UNSDG_CSA,2022,82.03276,69.63004
Central and Southern Asia (UN SDG),UNSDG_CSA,2023,82.518326,71.38712
Central and Southern Asia (UN SDG),UNSDG_CSA,2024,82.99679,73.1339
Chad,TCD,2000,14.938387,2.9205813
Chad,TCD,2001,15.064489,2.9233863
Chad,TCD,2002,15.190591,2.9246404
Chad,TCD,2003,15.316693,2.9243433
Chad,TCD,2004,15.442795,2.9224954
Chad,TCD,2005,15.568897,2.9190965
Chad,TCD,2006,15.695,2.9141467
Chad,TCD,2007,15.821101,2.9076457
Chad,TCD,2008,15.947204,2.8995938
Chad,TCD,2009,16.073305,2.889991
Chad,TCD,2010,16.199408,2.878837
Chad,TCD,2011,16.32551,2.8661325
Chad,TCD,2012,16.451612,2.8518767
Chad,TCD,2013,16.577715,2.83607
Chad,TCD,2014,16.703817,2.8187122
Chad,TCD,2015,16.829918,2.7998035
Chad,TCD,2016,16.95602,2.7793438
Chad,TCD,2017,17.082123,2.7573333
Chad,TCD,2018,17.208225,2.7337716
Chad,TCD,2019,17.334328,2.708659
Chad,TCD,2020,17.46043,2.6819954
Chad,TCD,2021,17.58653,2.653781
Chad,TCD,2022,17.58653,2.653781
Chad,TCD,2023,17.58653,2.653781
Chad,TCD,2024,17.58653,2.653781
Chile,CHL,2000,97.8149,
Chile,CHL,2001,97.9241,
Chile,CHL,2002,98.033356,
Chile,CHL,2003,98.14265,
Chile,CHL,2004,98.251976,
Chile,CHL,2005,98.36135,
Chile,CHL,2006,98.470764,
Chile,CHL,2007,98.58022,
Chile,CHL,2008,98.68973,
Chile,CHL,2009,98.79927,
Chile,CHL,2010,98.8582,
Chile,CHL,2011,98.91207,
Chile,CHL,2012,98.96596,
Chile,CHL,2013,99.00913,
Chile,CHL,2014,99.02904,
Chile,CHL,2015,99.04894,
Chile,CHL,2016,99.06884,
Chile,CHL,2017,99.08874,
Chile,CHL,2018,99.108635,
Chile,CHL,2019,99.1332,
Chile,CHL,2020,99.15777,
Chile,CHL,2021,99.182335,
Chile,CHL,2022,99.2069,
Chile,CHL,2023,99.23147,
Chile,CHL,2024,99.242516,
China,CHN,2000,91.65548,
China,CHN,2001,91.65548,
China,CHN,2002,91.60669,
China,CHN,2003,91.5579,
China,CHN,2004,91.5091,
China,CHN,2005,91.46031,
China,CHN,2006,91.41152,
China,CHN,2007,91.362724,
China,CHN,2008,91.313934,
China,CHN,2009,91.26514,
China,CHN,2010,91.21635,
China,CHN,2011,91.620476,
China,CHN,2012,92.024124,
China,CHN,2013,92.427284,
China,CHN,2014,92.829956,
China,CHN,2015,93.23215,
China,CHN,2016,93.63386,
China,CHN,2017,94.03508,
China,CHN,2018,94.435814,
China,CHN,2019,94.83607,
China,CHN,2020,95.23583,
China,CHN,2021,95.63512,
China,CHN,2022,96.03391,
China,CHN,2023,96.43222,
China,CHN,2024,96.43222,
Colombia,COL,2000,80.1654,32.419067
Colombia,COL,2001,80.22583,32.682365
Colombia,COL,2002,80.28627,32.945663
Colombia,COL,2003,80.34671,33.20896
Colombia,COL,2004,80.40715,33.47226
Colombia,COL,2005,80.46759,33.735558
Colombia,COL,2006,80.52803,33.998856
Colombia,COL,2007,80.60251,34.262157
Colombia,COL,2008,80.677,34.525455
Colombia,COL,2009,80.75152,34.788754
Colombia,COL,2010,80.82606,35.05205
Colombia,COL,2011,80.90062,35.31535
Colombia,COL,2012,80.975204,35.578648
Colombia,COL,2013,81.049805,35.841946
Colombia,COL,2014,81.12443,36.105244
Colombia,COL,2015,81.19907,36.368546
Colombia,COL,2016,81.27374,36.631844
Colombia,COL,2017,81.34843,36.89514
Colombia,COL,2018,81.423134,37.15844
Colombia,COL,2019,81.49786,37.421738
Colombia,COL,2020,81.57262,37.685036
Colombia,COL,2021,81.647385,37.948334
Colombia,COL,2022,81.722176,38.21163
Colombia,COL,2023,81.79699,38.474934
Colombia,COL,2024,81.81168,38.73823
Congo,COG,2000,41.829254,8.110956
Congo,COG,2001,41.829254,8.110956
Congo,COG,2002,41.892868,8.110956
Congo,COG,2003,41.956486,8.110956
Congo,COG,2004,43.865448,8.7263365
Congo,COG,2005,45.779995,9.360353
Congo,COG,2006,47.700134,10.013007
Congo,COG,2007,49.62586,10.684298
Congo,COG,2008,51.55717,11.374226
Congo,COG,2009,53.49407,12.082789
Congo,COG,2010,55.436554,12.80999
Congo,COG,2011,57.38463,13.555827
Congo,COG,2012,58.19118,14.320301
Congo,COG,2013,58.27823,15.103412
Congo,COG,2014,58.365273,15.905159
Congo,COG,2015,58.452316,16.725544
Congo,COG,2016,58.53936,17.564564
Congo,COG,2017,58.626404,18.422222
Congo,COG,2018,58.626404,18.422222
Congo,COG,2019,58.626404,18.422222
Congo,COG,2020,58.626404,18.422222
Congo,COG,2021,58.626404,18.422222
Costa Rica,CRI,2000,79.87271,71.776375
Costa Rica,CRI,2001,79.900925,72.27171
Costa Rica,CRI,2002,79.92914,72.76705
Costa Rica,CRI,2003,79.95735,73.2624
Costa Rica,CRI,2004,79.985565,73.75774
Costa Rica,CRI,2005,80.01378,74.253075
Costa Rica,CRI,2006,80.042,74.74842
Costa Rica,CRI,2007,80.07021,75.24376
Costa Rica,CRI,2008,80.09843,75.7391
Costa Rica,CRI,2009,80.12664,76.23444
Costa Rica,CRI,2010,80.154854,76.72978
Costa Rica,CRI,2011,80.18307,77.22512
Costa Rica,CRI,2012,80.21128,77.72047
Costa Rica,CRI,2013,80.239494,78.215805
Costa Rica,CRI,2014,80.26771,78.71114
Costa Rica,CRI,2015,80.29592,79.20649
Costa Rica,CRI,2016,80.324135,79.70183
Costa Rica,CRI,2017,80.35235,80.19717
Costa Rica,CRI,2018,80.38057,80.69251
Costa Rica,CRI,2019,80.38785,81.05455
Costa Rica,CRI,2020,80.38785,81.05455
Costa Rica,CRI,2021,80.38785,81.05455
Costa Rica,CRI,2022,80.38785,81.05455
Costa Rica,CRI,2023,80.38785,81.05455
Costa Rica,CRI,2024,80.38785,81.05455
Cote d'Ivoire,CIV,2000,41.261593,13.276906
Cote d'Ivoire,CIV,2001,41.26111,13.964252
Cote d'Ivoire,CIV,2002,41.26062,14.6579275
Cote d'Ivoire,CIV,2003,41.260136,15.357932
Cote d'Ivoire,CIV,2004,41.25965,16.064266
Cote d'Ivoire,CIV,2005,41.259163,16.77693
Cote d'Ivoire,CIV,2006,41.25868,17.49592
Cote d'Ivoire,CIV,2007,41.258194,18.221241
Cote d'Ivoire,CIV,2008,41.257706,18.952892
Cote d'Ivoire,CIV,2009,41.25722,19.69087
Cote d'Ivoire,CIV,2010,41.256737,20.435179
Cote d'Ivoire,CIV,2011,41.25625,21.185816
Cote d'Ivoire,CIV,2012,42.611694,21.942781
Cote d'Ivoire,CIV,2013,43.967106,22.706078
Cote d'Ivoire,CIV,2014,45.322487,23.475702
Cote d'Ivoire,CIV,2015,46.677837,24.251656
Cote d'Ivoire,CIV,2016,48.033154,25.033937
Cote d'Ivoire,CIV,2017,49.38844,25.82255
Cote d'Ivoire,CIV,2018,50.74369,25.328854
Cote d'Ivoire,CIV,2019,52.09891,24.087816
Cote d'Ivoire,CIV,2020,53.4541,22.834047
Cote d'Ivoire,CIV,2021,54.80926,21.567547
Cote d'Ivoire,CIV,2022,53.43002,20.288313
Cote d'Ivoire,CIV,2023,51.455627,18.996347
Cote d'Ivoire,CIV,2024,51.45502,19.083626
Croatia,HRV,2000,96.54062,71.992836
Croatia,HRV,2001,96.54062,71.992836
Croatia,HRV,2002,96.54062,72.16347
Croatia,HRV,2003,96.54062,72.3341
Croatia,HRV,2004,96.5347,72.50472
Croatia,HRV,2005,96.528786,72.675354
Croatia,HRV,2006,96.522865,72.845985
Croatia,HRV,2007,96.516945,73.01662
Croatia,HRV,2008,96.51103,73.18725
Croatia,HRV,2009,96.50511,73.35788
Croatia,HRV,2010,96.49919,73.5285
Croatia,HRV,2011,96.49328,73.699135
Croatia,HRV,2012,96.48736,73.86977
Croatia,HRV,2013,96.48144,74.0404
Croatia,HRV,2014,96.48144,74.0404
Croatia,HRV,2015,96.48144,74.0404
Croatia,HRV,2016,96.48144,74.0404
Croatia,HRV,2017,96.48144,74.0404
Croatia,HRV,2018,96.48144,74.0404
Croatia,HRV,2019,96.48144,74.0404
Croatia,HRV,2020,96.48144,74.0404
Croatia,HRV,2021,96.48144,74.0404
Croatia,HRV,2022,96.48144,74.0404
Croatia,HRV,2023,96.48144,74.0404
Croatia,HRV,2024,96.48144,74.0404
Czechia,CZE,2000,96.704384,89.02648
Czechia,CZE,2001,96.704384,89.02648
Czechia,CZE,2002,96.80827,89.75286
Czechia,CZE,2003,96.91222,90.47985
Czechia,CZE,2004,97.016205,91.20744
Czechia,CZE,2005,97.120255,91.93564
Czechia,CZE,2006,97.22435,92.664444
Czechia,CZE,2007,97.32849,93.39385
Czechia,CZE,2008,97.43269,94.12387
Czechia,CZE,2009,97.53694,94.85449
Czechia,CZE,2010,97.64124,95.585724
Czechia,CZE,2011,97.7456,96.31756
Czechia,CZE,2012,97.85,97.05
Czechia,CZE,2013,97.95232,97.78305
Czechia,CZE,2014,98.01919,98.366875
Czechia,CZE,2015,98.01919,98.49065
Czechia,CZE,2016,98.01919,98.5167
