original archive,title,safe title,javascript file,data files
001_malaysia-direct-investment-abroad-dia-by-sector.tgz,Malaysia Direct Investment Abroad DIA by Sector,malaysia_direct_investment_abroad_dia_by_sector,malaysia_direct_investment_abroad_dia_by_sector.js,files/e31ba05813a942683c3a2eb4e0669cf8cc18f6285b4c2feebd2e249240f26c3877a184a99360dcb8211d62642d689c96e35456abee56ba700ef1fa7989043719.csv
002_3219ba596e39def0.tgz,ARBES,arbes,arbes.js,files/3f00dd076acdf1ff6b5ecb2f0618b0ebb3941f23e744a3c6b2b49f736849122b66ccec1b3b46916190c13d3054c510f5b7e786eaeaa9234d8acfb50e7dadb789.csv; files/c2589633280e7a8ad7e48b7da8c6f7fc4e62b91046b12187d91c198eff2bc6b82847fab290cd61e79686a598102fb81a027de0f06a35b159020410d6b3c692ff.csv
003_8b399ebd64b32c43.tgz,Child Poverty in California,child_poverty_in_california,child_poverty_in_california.js,
004_641fe2058221d34b.tgz,IA commentary July 2023,ia_commentary_july_2023,ia_commentary_july_2023.js,files/69f09c9bfc20a238296ee6ef0c63eb805d711b43d7e39c930cba7712d6dadab00088f4178a4b58110e45cd876be74a3ce0fa8951ba80091299ae346407274c29.csv
005_malaysia-total-trade-with-world.tgz,Malaysia Total Trade with World,malaysia_total_trade_with_world,malaysia_total_trade_with_world.js,files/0feeeace7bd35a9bfff9ec703c398a6dbd4889e0dd92e677ac33457e1e669158cff61dd3b8cd40bcb1a42095497380708e68f3f5e9cb88fa58b5d8b6ef781a17.csv
006_1a6221c15c98cf2c.tgz,International Merchandise Trade Malaysia and ASEAN,international_merchandise_trade_malaysia_and_asean,international_merchandise_trade_malaysia_and_asean.js,files/fc5a32c324e1f14e69876f73c6c4c468a2649fef8437d1542170707fd0e07a0eaf27b7a75f69df003d78e39c8b12a2e61e0d051d1830996a5b0a15d638c904b7.csv
007_1b9b8c753e96b9fc.tgz,How Many Members of the US Military Have Died in Each War?,how_many_members_of_the_us_military_have_died_in_each_war,how_many_members_of_the_us_military_have_died_in_each_war.js,files/94917c9c4468ce04221c11c44871a8af76add0d9250ca3fead3a37a738a077c85429ac3cf7ea3cb63feef81d6151addac659314f6efbb3f211566b9dbd93dbe9.csv
008_f792e00c5ceb4b87.tgz,"Percent of D.C. Workers Who Are Immigrants, by Occupation",percent_of_dc_workers_who_are_immigrants_by_occupation,percent_of_dc_workers_who_are_immigrants_by_occupation.js,files/899584d54db2b20a3c2bbae35b5a9636cb3303fb65fef5daa2a9ee27c361ae00397d8206a8c9beae7926ac5ad7d8f072ed12e2b53bdddd331fa13c502b0969f3.csv
009_6e96a3d9f17cec90.tgz,Zillow Home Value Index,zillow_home_value_index,zillow_home_value_index.js,
010_0a4f80329c243889.tgz,Cotton,cotton,cotton.js,files/659e068baf38f1c566609a24afc764ea7d41c11e1d5be3c9ac308014353f615ffff342f90404ffab1a13b0fe19472a0e43c44ce8aa05172751cc2654db4328b3.csv
