Entity,Code,Year,Engaged in religious/spiritual activities
Africa,OWID_AFR,2020,63.71511
Albania,ALB,2020,36.177605
Argentina,ARG,2020,48.529034
Asia,OWID_ASI,2020,40.451416
Australia,AUS,2020,19.388409
Austria,AUT,2020,33.62818
Bahrain,BHR,2020,51.516068
Bangladesh,BGD,2020,46.56357
Belgium,BEL,2020,14.504292
Benin,BEN,2020,73.416824
Bolivia,BOL,2020,47.506245
Bosnia and Herzegovina,BIH,2020,38.396423
Brazil,BRA,2020,53.729458
Bulgaria,BGR,2020,6.689827
Burkina Faso,BFA,2020,71.650955
Cameroon,CMR,2020,63.568485
Canada,CAN,2020,29.156187
Chile,CHL,2020,29.442852
China,CHN,2020,18.761173
Colombia,COL,2020,59.96769
Congo,COG,2020,72.28799
Costa Rica,CRI,2020,55.389732
Cote d'Ivoire,CIV,2020,60.910683
Croatia,HRV,2020,27.312746
Cyprus,CYP,2020,44.293114
Czechia,CZE,2020,15.82078
Denmark,DNK,2020,16.050905
Dominican Republic,DOM,2020,69.43944
Ecuador,ECU,2020,60.168716
Egypt,EGY,2020,50.72402
El Salvador,SLV,2020,73.4358
Estonia,EST,2020,13.352501
Ethiopia,ETH,2020,66.57121
Europe,OWID_EUR,2020,23.166454
Finland,FIN,2020,11.135731
France,FRA,2020,17.190386
Gabon,GAB,2020,70.82588
Georgia,GEO,2020,44.799385
Germany,DEU,2020,12.392031
Ghana,GHA,2020,57.63676
Greece,GRC,2020,27.453987
Guinea,GIN,2020,55.93042
High-income countries,OWID_HIC,2020,33.53107
Hong Kong,HKG,2020,34.004066
Hungary,HUN,2020,26.65722
India,IND,2020,46.679382
Indonesia,IDN,2020,72.98658
Iran,IRN,2020,56.264614
Iraq,IRQ,2020,30.957254
Ireland,IRL,2020,59.227047
Italy,ITA,2020,37.18426
Jordan,JOR,2020,31.091246
Kazakhstan,KAZ,2020,36.44698
Kenya,KEN,2020,78.937225
Kosovo,OWID_KOS,2020,39.370834
Kyrgyzstan,KGZ,2020,38.57376
Laos,LAO,2020,54.21378
Latvia,LVA,2020,16.857319
Lebanon,LBN,2020,21.962559
Low-income countries,OWID_LIC,2020,67.49855
Lower-middle-income countries,OWID_LMC,2020,50.486645
Malaysia,MYS,2020,68.6238
Mali,MLI,2020,77.97627
Malta,MLT,2020,27.663395
Mauritius,MUS,2020,56.81488
Mexico,MEX,2020,47.55565
Moldova,MDA,2020,47.82065
Mongolia,MNG,2020,24.021748
Morocco,MAR,2020,28.363049
Myanmar,MMR,2020,58.54849
Nepal,NPL,2020,36.396072
Netherlands,NLD,2020,12.731265
New Zealand,NZL,2020,23.603006
Nicaragua,NIC,2020,69.00884
Nigeria,NGA,2020,79.61398
North America,OWID_NAM,2020,53.02447
North Macedonia,MKD,2020,36.47355
Norway,NOR,2020,14.538442
Oceania,OWID_OCE,2020,19.84918
Paraguay,PRY,2020,59.636852
Peru,PER,2020,56.20702
Philippines,PHL,2020,49.365623
Poland,POL,2020,27.881594
Portugal,PRT,2020,32.367706
Romania,ROU,2020,44.47758
Russia,RUS,2020,17.541325
Senegal,SEN,2020,66.859535
Slovakia,SVK,2020,26.909904
South Africa,ZAF,2020,62.38304
South America,OWID_SAM,2020,53.01228
South Korea,KOR,2020,18.56782
Spain,ESP,2020,18.188236
Sri Lanka,LKA,2020,79.540665
Sweden,SWE,2020,9.442642
Switzerland,CHE,2020,20.070494
Tanzania,TZA,2020,58.52777
Thailand,THA,2020,48.769733
Tunisia,TUN,2020,28.068094
Turkey,TUR,2020,28.251839
Uganda,UGA,2020,64.03269
Ukraine,UKR,2020,27.202133
United Arab Emirates,ARE,2020,49.15984
United Kingdom,GBR,2020,40.922478
United States,USA,2020,56.357533
Upper-middle-income countries,OWID_UMC,2020,36.3422
Uruguay,URY,2020,31.846926
Uzbekistan,UZB,2020,17.447624
Venezuela,VEN,2020,54.641083
Vietnam,VNM,2020,26.911484
World,OWID_WRL,2020,43.077442
Zambia,ZMB,2020,77.35695
Zimbabwe,ZWE,2020,63.31352
