Entity,Code,Year,Amphenicols,Beta-lactamase resistant penicillins,Carbapenems,Combinations of penicillins,First-generation cephalosporins,Glycopeptides,Intermediate-acting sulfonamides,Long-acting sulfonamides,Nitrofuran derivatives,Other aminoglycosides,Other cephalosporins and penems,Penicillins with extended spectrum,Second-generation cephalosporins,Steroid antibiotics,Tetracyclines,Trimethoprim and derivatives,Third-generation cephalosporins,Streptogramins,Short-acting sulfonamides,Polymyxins,Other quinolones,Beta-lactamase sensitive penicillins,Combinations of antibiotics,Combinations of sulfonamides and trimethoprim,Fluoroquinolones,Imidazole derivatives,Lincosamides,Macrolides,Nitroimidazole,Other antibiotics
Armenia,ARM,2016,0.21966232,0.000358498,,1.0993156,0.045107704,,,,0.35419643,,,0.73290586,0.09239699,,1.6465114,,0.17715988,,,,0.08819061,,,0.9345967,1.0719532,,0.01117559,1.4582301,0.322496,0.057593007
Armenia,ARM,2017,0.41514167,,,1.4338335,0.092972115,,,0.048032958,0.7235253,,,2.3253107,0.10031203,,1.5551776,,0.256518,,,,0.09350672,,0.000721455,1.2124227,1.173498,,0.012200372,1.4892241,0.38760918,0.06815781
Armenia,ARM,2018,0.27706268,0.00084513,,1.2322761,0.065278344,,,,0.69711417,,,2.1860988,0.048969265,,1.746045,,0.18045384,,,,0.094350345,,0.000278169,1.4118146,1.6457696,,0.018747404,1.7357522,0.42822632,0.051423524
Armenia,ARM,2019,0.3094129,,,1.4962308,0.07338227,,,,0.6924685,,,1.5954527,0.07666682,,1.420775,,0.2514085,,,,0.041854467,,,0.63249975,1.3259193,,0.018299796,2.2153347,0.4453974,0.065104626
Armenia,ARM,2020,0.13998382,,,1.6640828,0.05620592,,,0.014452463,0.4424895,,,2.5355742,0.07541647,,1.9916139,,0.43960485,,,,,,,1.328775,2.0699468,,0.010742997,5.2385716,0.45432335,0.078001305
Armenia,ARM,2021,0.28411222,,,1.7329544,0.039053485,,,,0.8645384,,,1.7465581,0.07350014,,1.131434,,0.42828178,,,,,,0.00000589,0.9971508,1.7220187,,0.054731768,3.3997252,0.39206284,0.050438523
Armenia,ARM,2022,0.18334012,,,0.9380838,0.01401606,,,,0.9404047,,,0.31841797,0.06262861,,0.9536044,,0.43899545,,,,,,,1.1843321,1.5837787,,0.085384205,1.4585623,0.30578336,0.01615426
Austria,AUT,2016,,0.005841663,,3.1769166,0.3110761,,,,0.26154912,,,0.73105466,0.87672067,0.025172966,0.8504565,0.10994279,0.20912327,,,,,0.7317484,,0.09155039,1.1948526,,0.6671902,2.059725,0.09480363,0.039060876
Austria,AUT,2017,,0.006475068,,3.532821,0.33678138,,,,0.29828537,,,0.82017684,0.9327065,0.02435064,0.6274959,0.11032249,0.23467264,,,,,0.7453587,,0.106359266,1.2264087,,0.691483,2.106858,0.10316416,0.046828967
Austria,AUT,2018,,0.003417641,,3.2271912,0.3221201,,,,0.27162,,,0.81821126,0.8807811,0.019791823,0.36195466,0.09629276,0.19151495,,,,,0.6653662,,0.10753072,1.0384674,,0.611185,1.6380066,0.10137049,0.047323592
Austria,AUT,2019,,0.005514044,,3.3039875,0.35018608,,,,0.2967293,,,0.84395516,0.87574023,0.023023726,0.35240093,0.12915096,0.1799642,,,,,0.63460183,,0.13142598,0.8131978,,0.6269335,1.5888367,0.12292012,0.059773628
Austria,AUT,2020,,0.004566734,,2.490292,0.30205175,,,,0.24588257,,,0.71256185,0.56374085,0.020451885,0.31740743,0.118022926,0.10417385,,,,,0.3208977,,0.14365545,0.6309045,,0.55096334,0.9446439,0.11302207,0.047441278
Austria,AUT,2021,,0.004163903,,2.634473,0.30383274,,,,0.17848895,,,0.698029,0.57546806,0.019004103,0.37279692,0.1132065,0.17389086,,,,,0.29699394,,0.15540786,0.56971514,,0.54268163,0.9104686,0.11753446,0.023439456
Austria,AUT,2022,,0.002490989,,3.3357847,0.2530171,,,,0.16499276,,,0.8662888,0.73100394,0.01669649,0.37999067,0.112102926,0.1566056,,,,,0.4710488,,0.10693201,0.6298316,,0.61437297,1.387214,0.11784234,0.025711156
Bangladesh,BGD,2016,0.000311275,1.0792234,,0.034076154,0.5447325,,,,0.1242472,,,1.3084027,1.108388,,2.8022976,,2.0755234,,,,0.010026938,0.39697966,,0.3091338,2.4282932,,0.14155799,4.093117,1.5326356,0.004165766
Bangladesh,BGD,2017,0.002318711,1.1190207,,0.063677564,2.5977874,,,,0.13533795,,,1.3194326,1.1050882,,2.198821,,2.611088,,,,0.011348869,0.40703422,,0.38590166,2.19548,,0.12212262,4.5553904,1.5552533,0.008980458
Bangladesh,BGD,2018,0.001053829,1.1031588,,0.06796341,0.52830875,,,,0.14757949,,,1.2577032,1.1274724,,2.401781,,2.5801127,,,,0.010455908,0.3375322,,0.25807676,2.5295277,,0.1247289,4.8453465,1.7434231,0.014578554
Bangladesh,BGD,2019,,1.4238442,,0.29080284,0.5357425,,,,0.1871416,,,1.4276892,1.5127603,,1.9226382,,3.7505784,,,,0.008982454,0.4659024,,0.37143528,3.0928895,,0.123108536,6.2895722,2.2260516,0.053532735
Bangladesh,BGD,2020,,1.5053205,,0.28019616,0.5362346,,,,0.24746448,,,1.4316486,1.1762826,,2.3763494,,3.1576242,,,,0.007922516,0.43554574,,0.47733667,2.6757555,,0.10781695,7.1349034,2.7131526,0.057400253
Bangladesh,BGD,2021,0.000538558,1.8033818,,0.35443327,2.3863678,,,,0.21521272,,,1.2467912,3.0892558,,4.512874,,15.81472,,,,0.002065424,0.25817153,,0.35649532,6.9151654,,0.11289926,13.648511,3.4323454,0.090175204
Bangladesh,BGD,2022,0.00000219,1.441169,,0.26103288,0.11608212,,,,0.2520733,,,1.3456986,3.013738,,2.8058748,,15.653694,,,,,0.13688797,,1.3378435,7.0489006,,0.10358917,7.446098,6.4613614,0.1116906
Belarus,BLR,2016,0.06554554,,,1.416035,0.11669808,,,,1.1099787,,,3.375193,0.3580836,,2.4641712,,0.058606274,,,,0.010057966,,,0.11766183,1.5289257,,0.06235854,2.8527045,0.5215365,0.15306225
Belarus,BLR,2017,0.07247695,,,2.6159282,0.096979864,,,,1.0957695,,,4.6225095,0.72702414,,2.7285073,,0.21512938,,,,0.009846545,,,0.14499877,1.7404335,,0.0649412,2.9648304,0.56545275,0.18530357
