Entity,Code,Year,Share - Question: mh4b - Important for national government to fund research on anxiety/depression - Answer: Extremely important - Gender: all - Age group: all
Africa,OWID_AFR,2020,54.02554
Albania,ALB,2020,74.48409
Algeria,DZA,2020,29.806576
Argentina,ARG,2020,51.355938
Asia,OWID_ASI,2020,43.264355
Australia,AUS,2020,69.88028
Austria,AUT,2020,62.301727
Bahrain,BHR,2020,66.13331
Bangladesh,BGD,2020,37.93257
Belgium,BEL,2020,67.166214
Benin,BEN,2020,26.886019
Bolivia,BOL,2020,50.90703
Bosnia and Herzegovina,BIH,2020,75.29692
Brazil,BRA,2020,77.54291
Bulgaria,BGR,2020,65.304955
Burkina Faso,BFA,2020,38.09566
Cambodia,KHM,2020,73.058846
Cameroon,CMR,2020,33.810925
Canada,CAN,2020,64.43214
Chile,CHL,2020,72.01893
China,CHN,2020,35.569416
Colombia,COL,2020,52.957527
Congo,COG,2020,34.90877
Costa Rica,CRI,2020,59.342953
Cote d'Ivoire,CIV,2020,35.328575
Croatia,HRV,2020,72.966545
Cyprus,CYP,2020,73.979126
Czechia,CZE,2020,39.812176
Denmark,DNK,2020,58.212654
Dominican Republic,DOM,2020,44.702774
Ecuador,ECU,2020,47.874786
Egypt,EGY,2020,50.960934
El Salvador,SLV,2020,54.956196
Estonia,EST,2020,52.46696
Ethiopia,ETH,2020,67.04719
Europe,OWID_EUR,2020,57.4468
Finland,FIN,2020,69.002426
France,FRA,2020,51.529827
Gabon,GAB,2020,37.54554
Georgia,GEO,2020,60.74834
Germany,DEU,2020,67.52025
Ghana,GHA,2020,63.570885
Greece,GRC,2020,50.966557
Guinea,GIN,2020,45.089962
High-income countries,OWID_HIC,2020,59.868855
Hong Kong,HKG,2020,38.246735
Hungary,HUN,2020,39.9568
India,IND,2020,39.90151
Indonesia,IDN,2020,56.36024
Iran,IRN,2020,71.95249
Iraq,IRQ,2020,61.43467
Ireland,IRL,2020,80.67703
Israel,ISR,2020,62.264053
Italy,ITA,2020,49.580654
Japan,JPN,2020,41.60216
Jordan,JOR,2020,63.1138
Kazakhstan,KAZ,2020,41.279133
Kenya,KEN,2020,63.600636
Kosovo,OWID_KOS,2020,76.79983
Kyrgyzstan,KGZ,2020,43.53454
Laos,LAO,2020,64.97109
Latvia,LVA,2020,61.911095
Lebanon,LBN,2020,48.176186
Lithuania,LTU,2020,45.24862
Low-income countries,OWID_LIC,2020,56.416805
Lower-middle-income countries,OWID_LMC,2020,46.91573
Malaysia,MYS,2020,62.25645
Mali,MLI,2020,62.861877
Malta,MLT,2020,82.94253
Mauritius,MUS,2020,66.93348
Mexico,MEX,2020,55.56324
Moldova,MDA,2020,70.44566
Mongolia,MNG,2020,58.454205
Montenegro,MNE,2020,71.51293
Morocco,MAR,2020,64.94933
Myanmar,MMR,2020,66.37055
Namibia,NAM,2020,59.4271
Nepal,NPL,2020,59.97689
Netherlands,NLD,2020,46.876568
New Zealand,NZL,2020,66.33756
Nicaragua,NIC,2020,46.436676
Nigeria,NGA,2020,49.559334
North America,OWID_NAM,2020,63.610813
North Macedonia,MKD,2020,67.512856
Norway,NOR,2020,54.147728
Oceania,OWID_OCE,2020,69.30798
Paraguay,PRY,2020,57.797405
Peru,PER,2020,43.941376
Philippines,PHL,2020,60.82566
Poland,POL,2020,75.39361
Portugal,PRT,2020,77.35574
Romania,ROU,2020,60.55933
Russia,RUS,2020,53.611065
Senegal,SEN,2020,68.9926
Serbia,SRB,2020,74.14764
Slovakia,SVK,2020,49.631187
Slovenia,SVN,2020,66.02395
South Africa,ZAF,2020,70.747055
South America,OWID_SAM,2020,65.25946
South Korea,KOR,2020,69.23324
Spain,ESP,2020,35.64261
Sri Lanka,LKA,2020,44.297504
Sweden,SWE,2020,67.83796
Switzerland,CHE,2020,49.056637
Taiwan,TWN,2020,54.880238
Tanzania,TZA,2020,60.527622
Thailand,THA,2020,60.656357
Tunisia,TUN,2020,45.64266
Turkey,TUR,2020,65.49907
Uganda,UGA,2020,35.51545
Ukraine,UKR,2020,52.570927
United Arab Emirates,ARE,2020,64.0149
United Kingdom,GBR,2020,68.49423
United States,USA,2020,67.4037
Upper-middle-income countries,OWID_UMC,2020,46.18252
Uruguay,URY,2020,62.168198
Uzbekistan,UZB,2020,52.573727
Venezuela,VEN,2020,50.263187
Vietnam,VNM,2020,46.54618
World,OWID_WRL,2020,49.300385
Zambia,ZMB,2020,69.156685
Zimbabwe,ZWE,2020,63.16383
