Entity,Code,Year,2010,2005,2000,1995,1990,1985,1980,1975,1970,1965,1960,1955,1950,1945,1940,1935,1930,1925
Austria,AUT,12,0,0,0,0,0,0,0,0,0.00002,0,0,0.00006,0,0.00005,0,,,
Austria,AUT,13,,0.00002,0.00005,0.00002,0.00006,0.00002,0.00011,0.00004,0.00002,0.00005,0.00023,0.00014,0.0001,0.0001,0.00001,,,
Austria,AUT,14,,0.00002,0.00031,0.00031,0.00013,0.00018,0.00033,0.0004,0.00029,0.00046,0.00067,0.00053,0.0005,0.0006,0.00004,,,
Austria,AUT,15,,0.00062,0.00062,0.00116,0.00127,0.00139,0.00113,0.00187,0.00149,0.00221,0.00292,0.00308,0.00333,0.00389,0.00228,,,
Austria,AUT,16,,0.00104,0.00215,0.00326,0.00391,0.00507,0.00446,0.00704,0.00572,0.0097,0.01245,0.01774,0.01618,0.01787,0.0101,0.0085,,
Austria,AUT,17,,0.00257,0.00421,0.00603,0.0087,0.01019,0.01077,0.01753,0.01482,0.02255,0.03063,0.05147,0.05203,0.04855,0.03152,0.02576,,
Austria,AUT,18,,,0.00727,0.01047,0.01545,0.01915,0.01964,0.02909,0.02893,0.04034,0.05384,0.08381,0.09784,0.09258,0.06377,0.05112,,
Austria,AUT,19,,,0.01219,0.01715,0.02388,0.03011,0.03295,0.04234,0.04701,0.06077,0.07958,0.10866,0.13429,0.1279,0.10079,0.08174,,
Austria,AUT,20,,,0.01661,0.02293,0.03057,0.03967,0.04346,0.0542,0.06323,0.07709,0.10368,0.11291,0.14801,0.14961,0.13158,0.11711,,
Austria,AUT,21,,,0.02301,0.03153,0.03678,0.04474,0.0521,0.06351,0.07642,0.0861,0.11589,0.11719,0.14972,0.16283,0.15697,0.14527,0.1125,
Austria,AUT,22,,,0.0303,0.03872,0.04297,0.04903,0.0596,0.06998,0.08954,0.09449,0.12003,0.12173,0.13914,0.16707,0.17093,0.16469,0.12519,
Austria,AUT,23,,,,0.04563,0.05103,0.0577,0.06663,0.07756,0.09479,0.10475,0.11595,0.12282,0.13295,0.16306,0.17454,0.17375,0.13285,
Austria,AUT,24,,,,0.05541,0.06061,0.0642,0.07589,0.08617,0.09921,0.10931,0.11728,0.12317,0.12798,0.14203,0.17299,0.18215,0.13901,
Austria,AUT,25,,,,0.06316,0.06807,0.07431,0.0819,0.08909,0.10378,0.11616,0.11123,0.12167,0.11656,0.13092,0.16254,0.1798,0.14981,
Austria,AUT,26,,,,0.07509,0.08143,0.07913,0.08543,0.09411,0.10586,0.11336,0.10397,0.11283,0.10729,0.11412,0.15139,0.17532,0.15488,0.12041
Austria,AUT,27,,,,0.07982,0.08931,0.08514,0.0908,0.09987,0.10245,0.10956,0.10489,0.10363,0.09467,0.10076,0.13912,0.16529,0.15078,0.11785
Austria,AUT,28,,,,,0.0918,0.09563,0.09453,0.09989,0.0953,0.10421,0.0929,0.09138,0.08823,0.08534,0.12427,0.15585,0.14248,0.11382
Austria,AUT,29,,,,,0.10387,0.10438,0.10098,0.10034,0.09451,0.09408,0.08498,0.08071,0.07856,0.07643,0.10152,0.13899,0.13616,0.11159
Austria,AUT,30,,,,,0.10646,0.10542,0.10172,0.09621,0.08747,0.0859,0.0771,0.07047,0.07149,0.06515,0.08845,0.12221,0.12582,0.11101
Austria,AUT,31,,,,,0.10881,0.10954,0.0987,0.09323,0.08151,0.07758,0.06894,0.05903,0.06264,0.05397,0.07162,0.1088,0.11497,0.10809
Austria,AUT,32,,,,,0.09778,0.10223,0.09646,0.08484,0.07594,0.06526,0.06049,0.0522,0.05159,0.04594,0.06166,0.09083,0.10555,0.09869
Austria,AUT,33,,,,,,0.09562,0.08899,0.07857,0.06348,0.05437,0.04973,0.04506,0.04168,0.03904,0.049,0.07929,0.09198,0.08987
Austria,AUT,34,,,,,,0.08621,0.08357,0.07148,0.05963,0.04801,0.04295,0.03783,0.0344,0.0331,0.04126,0.06691,0.08158,0.07921
Austria,AUT,35,,,,,,0.07896,0.07767,0.06458,0.05233,0.03934,0.03498,0.03234,0.02761,0.02848,0.03286,0.05316,0.06656,0.0708
Austria,AUT,36,,,,,,0.06718,0.067,0.05614,0.04369,0.03276,0.03002,0.02674,0.02268,0.02461,0.02528,0.0444,0.05712,0.06352
Austria,AUT,37,,,,,,0.05167,0.05355,0.04537,0.0375,0.02982,0.02272,0.02127,0.01841,0.01897,0.01982,0.03359,0.04636,0.053
Austria,AUT,38,,,,,,,0.04245,0.03693,0.02977,0.02264,0.01826,0.01625,0.0145,0.01409,0.01533,0.02732,0.0371,0.04403
Austria,AUT,39,,,,,,,0.0346,0.02982,0.02235,0.01894,0.01337,0.01153,0.01053,0.00955,0.01129,0.02204,0.02756,0.03529
Austria,AUT,40,,,,,,,0.02528,0.02339,0.01798,0.01355,0.01072,0.00801,0.00761,0.00824,0.00841,0.01355,0.0211,0.02581
Austria,AUT,41,,,,,,,0.01641,0.01565,0.01084,0.0092,0.00703,0.00596,0.0054,0.00502,0.00565,0.00884,0.01564,0.01861
Austria,AUT,42,,,,,,,0.00984,0.00978,0.00817,0.0062,0.00476,0.00365,0.00314,0.00359,0.00363,0.00619,0.00968,0.01178
Austria,AUT,43,,,,,,,,0.00599,0.00439,0.00377,0.00256,0.0021,0.0019,0.00216,0.00203,0.00381,0.00631,0.00694
Austria,AUT,44,,,,,,,,0.00356,0.00253,0.00187,0.00152,0.00109,0.001,0.00109,0.00096,0.00178,0.00325,0.0049
Austria,AUT,45,,,,,,,,0.00173,0.00153,0.00095,0.00081,0.00043,0.00061,0.00049,0.0004,0.00099,0.00115,0.00215
Austria,AUT,46,,,,,,,,0.00106,0.00074,0.00065,0.00032,0.00036,0.00022,0.00021,0.00024,0.00039,0.00066,0.00107
Austria,AUT,47,,,,,,,,0.00063,0.00045,0.00031,0.00021,0.00011,0.00008,0.00003,0.00013,0.00008,0.00031,0.00024
Austria,AUT,48,,,,,,,,,0.0003,0.00028,0.00028,0.00005,0.00008,0.00005,0.00005,0,0.00009,0.00011
Austria,AUT,49,,,,,,,,,0.0002,0.00008,0.00008,0.00002,0,0.00003,0,0,0.00002,0.00002
Austria,AUT,50,,,,,,,,,0.00006,0.00014,0.00006,0.00005,0.00004,0.00003,0.00002,0,0,0.00001
Austria,AUT,51,,,,,,,,,0.00005,0.00004,0.00005,0.00002,0,0.00003,0,0,0,0.00001
Austria,AUT,52,,,,,,,,,0.00003,0.00001,0.00002,0.00005,0,0,0,0,0,0
Austria,AUT,53,,,,,,,,,,0,0.00006,0.00002,0,0,0,0,0,0
Austria,AUT,54,,,,,,,,,,0,0.00003,0,0.00002,0,0,0,0,0
