Entity,Year,World population
Biraben (1980),1,252000000
Biraben (1980),1000,253000000
Biraben (1980),1500,461000000
Biraben (1980),1700,679000000
Biraben (1980),1750,770000000
Biraben (1980),1800,954000000
Biraben (1980),1850,1241000000
Biraben (1980),1900,1633000000
Braudel (1981),1700,410000000
Clark (1967),-8000,7500000
Clark (1967),1,256000000
Clark (1967),600,237000000
Clark (1967),1000,280200000
Clark (1967),1500,427800000
Clark (1967),1600,498000000
Clark (1967),1700,640800000
Clark (1967),1750,731000000
Clark (1967),1800,890000000
Clark (1967),1850,1171000000
Durand (1977),1900,1668000000
"Durand, lower estimate (1974)",1,270000000
"Durand, lower estimate (1974)",1000,275000000
"Durand, lower estimate (1974)",1500,440000000
"Durand, lower estimate (1974)",1750,735000000
"Durand, lower estimate (1974)",1900,1650000000
"Durand, upper estimate (1974)",1,330000000
"Durand, upper estimate (1974)",1000,345000000
"Durand, upper estimate (1974)",1500,540000000
"Durand, upper estimate (1974)",1750,805000000
"Durand, upper estimate (1974)",1900,1710000000
Gapminder v7 (2022),1800,984198691
Gapminder v7 (2022),1801,987628322
Gapminder v7 (2022),1802,991098738
Gapminder v7 (2022),1803,994610260
Gapminder v7 (2022),1804,998163240
Gapminder v7 (2022),1805,1001758044
Gapminder v7 (2022),1806,1005395067
Gapminder v7 (2022),1807,1009074742
Gapminder v7 (2022),1808,1012797513
Gapminder v7 (2022),1809,1016563866
Gapminder v7 (2022),1810,1021996559
Gapminder v7 (2022),1811,1027487469
Gapminder v7 (2022),1812,1033631136
Gapminder v7 (2022),1813,1040443689
Gapminder v7 (2022),1814,1047427292
Gapminder v7 (2022),1815,1054586106
Gapminder v7 (2022),1816,1061924513
Gapminder v7 (2022),1817,1069447070
Gapminder v7 (2022),1818,1077158552
Gapminder v7 (2022),1819,1084757875
Gapminder v7 (2022),1820,1092231873
Gapminder v7 (2022),1821,1099331577
Gapminder v7 (2022),1822,1106253783
Gapminder v7 (2022),1823,1113514792
Gapminder v7 (2022),1824,1120876169
Gapminder v7 (2022),1825,1128342960
Gapminder v7 (2022),1826,1135961188
Gapminder v7 (2022),1827,1143684846
Gapminder v7 (2022),1828,1151515422
Gapminder v7 (2022),1829,1158898384
Gapminder v7 (2022),1830,1165830197
Gapminder v7 (2022),1831,1172266726
Gapminder v7 (2022),1832,1178216298
Gapminder v7 (2022),1833,1183674995
Gapminder v7 (2022),1834,1189194865
Gapminder v7 (2022),1835,1194777021
Gapminder v7 (2022),1836,1200422586
Gapminder v7 (2022),1837,1206132721
Gapminder v7 (2022),1838,1211908617
Gapminder v7 (2022),1839,1217612799
Gapminder v7 (2022),1840,1223247227
Gapminder v7 (2022),1841,1228821489
Gapminder v7 (2022),1842,1234333753
Gapminder v7 (2022),1843,1239786237
Gapminder v7 (2022),1844,1245319917
Gapminder v7 (2022),1845,1250936428
Gapminder v7 (2022),1846,1256637463
Gapminder v7 (2022),1847,1262424720
Gapminder v7 (2022),1848,1268300005
Gapminder v7 (2022),1849,1273394934
Gapminder v7 (2022),1850,1277714952
Gapminder v7 (2022),1851,1280733899
Gapminder v7 (2022),1852,1282983708
Gapminder v7 (2022),1853,1284472373
Gapminder v7 (2022),1854,1286072578
Gapminder v7 (2022),1855,1287785678
